jogador1,jogador2,jogador3,jogador4,jogador5,jogador6,jogador7,jogador8,jogador9,jogador10,jogador11,jogador12,jogador13,jogador14,jogador15,jogador16,jogador17,jogador18,jogador19,jogador20,jogador21,jogador22,jogador23,jogador24,jogador25,jogador26,jogador27,jogador28,jogador29
Jogador_76114243-8543-44b1-ae8b-c05c3b119975.h5_13,Jogador_9b8a28a7-5157-43e7-a1f8-a50756c7c984.h5_13,Jogador_cab6716f-4d98-427e-9a8c-770326043003.h5_8,Jogador_cddaa02b-8b96-4341-b5b5-d16f7d2bbdc2.h5_5,Jogador_a06c9e09-b42c-4a96-a928-fd119c6dc5b6.h5_3,Jogador_810103df-fcb6-46c9-9704-148748380956.h5_0,Jogador_8bd21fd8-9fa1-41f8-9a94-182fcf6f876f.h5_-4,Jogador_96179f53-62da-4d42-b127-5e32bbc153a0.h5_-6,Jogador_751936fd-0240-40f3-8920-47d49e49eb2f.h5_-6,Jogador_0bae7ac2-ba6f-4598-ac00-cbccee0e6b9d.h5_-6,Jogador_1bd7711e-7751-4253-ac8c-a5b270584a60.h5_-7,Jogador_2d559138-ff64-4346-947e-81b17c2ca6e1.h5_-8,Jogador_db86656e-732e-4e7d-83d5-b3e7bdb2fad3.h5_-16,Jogador_a1880917-d00f-41b4-ba08-afc4ff4fb24b.h5_-17,Jogador_f7c04ced-d99a-40ca-a012-ff44d803e58e.h5_-18,Jogador_73f9777a-c957-425b-9aa1-6edb90acc299.h5_-19,Jogador_47df1bcf-98f6-45fb-8abe-08b557c70d17.h5_-20,Jogador_50e7dc1e-ff72-45b3-ad46-27378cc31a82.h5_-24,Jogador_6c280395-d8ba-43d5-a421-dedb001c3f1c.h5_-24,Jogador_b85ec44b-654e-4933-a242-a9acce2d7c28.h5_-24,Jogador_c8c81377-7d26-432f-9f40-90618170e138.h5_-25,Jogador_61ca87b7-a1ec-473d-be67-0755633692d0.h5_-25,Jogador_199eb593-2f66-46b3-832e-fd467445c763.h5_-26,Jogador_bf703be4-b7c5-4ed9-9cdf-33ccee829ae3.h5_-29,Jogador_682a0396-79a8-4d19-90cd-efe648babd21.h5_-30,Jogador_0147b0a2-a55f-4970-a89e-47d8ecc0952a.h5_-30,Jogador_42b52dba-b4d9-410d-9a46-d5df0b42c46e.h5_-43,Jogador_a96e4123-f867-49a8-8c1e-90c434c4e693.h5_-44,Jogador_d7b37c2d-48dd-4a25-9ae1-e429176714e1.h5_-49,Jogador_0f5949c1-d766-4863-a07b-d7678ba1369f.h5_-51
Jogador_9b8a28a7-5157-43e7-a1f8-a50756c7c984.h5_8,Jogador_76114243-8543-44b1-ae8b-c05c3b119975.h5_7,Jogador_41d533c6-3d9d-4e5d-9125-5e20913027f5.h5_5,Jogador_0ef719c4-a8cf-4b41-968e-4ba57efe14ed.h5_2,Jogador_810103df-fcb6-46c9-9704-148748380956.h5_1,Jogador_cddaa02b-8b96-4341-b5b5-d16f7d2bbdc2.h5_1,Jogador_8bd21fd8-9fa1-41f8-9a94-182fcf6f876f.h5_-7,Jogador_1bd7711e-7751-4253-ac8c-a5b270584a60.h5_-8,Jogador_a06c9e09-b42c-4a96-a928-fd119c6dc5b6.h5_-10,Jogador_cab6716f-4d98-427e-9a8c-770326043003.h5_-12,Jogador_8b84df96-97a7-4946-bf24-c9bc62396656.h5_-13,Jogador_f7122534-bd33-4121-a437-a729ce6954c5.h5_-18,Jogador_2d559138-ff64-4346-947e-81b17c2ca6e1.h5_-18,Jogador_ab6c5562-e1d8-48b6-bf23-d1984b27952b.h5_-21,Jogador_96179f53-62da-4d42-b127-5e32bbc153a0.h5_-21,Jogador_8381d0ee-0dfc-44d5-b9f9-281632eb4f65.h5_-16,Jogador_2d4a546e-cc46-4c44-ac04-4238cf26d90d.h5_-18,Jogador_751936fd-0240-40f3-8920-47d49e49eb2f.h5_-22,Jogador_b17fe9a9-e296-48d4-b66c-9c1a9ab61163.h5_-23,Jogador_0bae7ac2-ba6f-4598-ac00-cbccee0e6b9d.h5_-24,Jogador_e873dacb-234a-4972-9c80-6f6e65c58917.h5_-24,Jogador_f087527c-9aec-4f49-ba9f-4bd43a9c7f93.h5_-25,Jogador_04cc1e03-92aa-4e3b-a70e-59b716a3c535.h5_-26,Jogador_db86656e-732e-4e7d-83d5-b3e7bdb2fad3.h5_-28,Jogador_f7c04ced-d99a-40ca-a012-ff44d803e58e.h5_-29,Jogador_ecd4e2b5-8401-4ec7-9afa-8c58fcd161b7.h5_-29,Jogador_5f9db469-3427-4bbb-9d68-f248dcc4d7c9.h5_-31,Jogador_a1880917-d00f-41b4-ba08-afc4ff4fb24b.h5_-31,Jogador_93a34ff0-05d6-46c4-8057-ccff4e2340ea.h5_-37,Jogador_a4cf1a94-3c0b-40fa-b405-891cb73f74e8.h5_-48
Jogador_cddaa02b-8b96-4341-b5b5-d16f7d2bbdc2.h5_13,Jogador_0ef719c4-a8cf-4b41-968e-4ba57efe14ed.h5_6,Jogador_ed25be4a-88d5-48e0-bad4-6cd3108537e5.h5_5,Jogador_9b8a28a7-5157-43e7-a1f8-a50756c7c984.h5_5,Jogador_41d533c6-3d9d-4e5d-9125-5e20913027f5.h5_-1,Jogador_76114243-8543-44b1-ae8b-c05c3b119975.h5_-1,Jogador_f786b62b-a391-452f-95dd-0cae913aaf59.h5_-5,Jogador_8bd21fd8-9fa1-41f8-9a94-182fcf6f876f.h5_-5,Jogador_1bd7711e-7751-4253-ac8c-a5b270584a60.h5_-8,Jogador_8b84df96-97a7-4946-bf24-c9bc62396656.h5_-10,Jogador_2d559138-ff64-4346-947e-81b17c2ca6e1.h5_-12,Jogador_526763e3-523a-4fbc-ba42-d0f19b6e9884.h5_-14,Jogador_22bb8756-ace1-4a19-8f2e-e7307616d9b8.h5_-16,Jogador_96179f53-62da-4d42-b127-5e32bbc153a0.h5_-19,Jogador_a06c9e09-b42c-4a96-a928-fd119c6dc5b6.h5_-21,Jogador_0a62a316-2c45-4361-8111-58996ad87402.h5_-7,Jogador_e375bc3b-9c28-421c-9b23-33a3ae21a9c8.h5_-20,Jogador_74c4de9d-4fbe-4e25-a915-557e488cec9b.h5_-23,Jogador_810103df-fcb6-46c9-9704-148748380956.h5_-25,Jogador_dd57c1ae-9744-45dc-9dcb-15b259a99375.h5_-26,Jogador_f7122534-bd33-4121-a437-a729ce6954c5.h5_-30,Jogador_cab6716f-4d98-427e-9a8c-770326043003.h5_-31,Jogador_ab6c5562-e1d8-48b6-bf23-d1984b27952b.h5_-32,Jogador_e5b05f20-e1b6-4a9f-9dd5-57d679d706f6.h5_-32,Jogador_021f1443-78f3-4a86-8651-2ebb6675b1a6.h5_-37,Jogador_151030fc-033a-43a3-8465-049926a1c537.h5_-38,Jogador_39e2d03c-00a6-4d64-a063-75a78c030077.h5_-39,Jogador_3a4ea71a-c274-47fb-bc3d-e50fc449616b.h5_-40,Jogador_978d9090-1509-4128-b0be-3889633f619c.h5_-43,Jogador_d2ebae11-2dcd-46af-93b8-e9764c144f8c.h5_-61
Jogador_e9be725b-8203-42fc-ab87-314bda035561.h5_8,Jogador_76114243-8543-44b1-ae8b-c05c3b119975.h5_4,Jogador_e3f2522a-cd02-4c1d-9137-5a92857bd2ba.h5_-2,Jogador_32fd2957-fcec-4e9b-b679-c4e375a2631f.h5_-3,Jogador_cddaa02b-8b96-4341-b5b5-d16f7d2bbdc2.h5_-5,Jogador_9b8a28a7-5157-43e7-a1f8-a50756c7c984.h5_-7,Jogador_1bd7711e-7751-4253-ac8c-a5b270584a60.h5_-8,Jogador_15e3ce3f-4f4a-4e6a-a573-54525e8f8969.h5_-9,Jogador_22bb8756-ace1-4a19-8f2e-e7307616d9b8.h5_-10,Jogador_6c0e689f-b1f1-4bf1-9faf-01e428d6598d.h5_-10,Jogador_a06c9e09-b42c-4a96-a928-fd119c6dc5b6.h5_-10,Jogador_96179f53-62da-4d42-b127-5e32bbc153a0.h5_-11,Jogador_0ef719c4-a8cf-4b41-968e-4ba57efe14ed.h5_-12,Jogador_541b2caa-4f4f-4844-948e-65566d22bf7f.h5_-21,Jogador_75bbd1dd-9168-4d53-b365-00a9dffa9560.h5_-23,Jogador_1528013a-e2f6-4671-9f93-6e33d9702692.h5_-11,Jogador_41d533c6-3d9d-4e5d-9125-5e20913027f5.h5_-13,Jogador_3193489c-2304-4d39-bd43-58b69f64bed6.h5_-20,Jogador_ed25be4a-88d5-48e0-bad4-6cd3108537e5.h5_-21,Jogador_8bd21fd8-9fa1-41f8-9a94-182fcf6f876f.h5_-25,Jogador_67a13aae-f04c-430b-93ca-fe615fd25e04.h5_-26,Jogador_32dac032-c32a-4dbf-acaa-c62dad955dfb.h5_-29,Jogador_e574f0bd-b32b-4f1f-b79a-331222473b59.h5_-30,Jogador_0802a0ee-67ea-4bf3-bf80-d2b8eb3b6a24.h5_-30,Jogador_2d559138-ff64-4346-947e-81b17c2ca6e1.h5_-30,Jogador_526763e3-523a-4fbc-ba42-d0f19b6e9884.h5_-33,Jogador_8b84df96-97a7-4946-bf24-c9bc62396656.h5_-34,Jogador_e14fa123-6c84-4733-a0fe-2caca8255483.h5_-34,Jogador_66dd8ba2-05a1-4ebc-964c-37a42daa8b0a.h5_-42,Jogador_f786b62b-a391-452f-95dd-0cae913aaf59.h5_-45
Jogador_651bff5e-1c1c-4501-994f-26386828fd88.h5_6,Jogador_8e595bbb-783e-4d2e-8b42-b11fac200637.h5_5,Jogador_9b8a28a7-5157-43e7-a1f8-a50756c7c984.h5_3,Jogador_76114243-8543-44b1-ae8b-c05c3b119975.h5_1,Jogador_15e3ce3f-4f4a-4e6a-a573-54525e8f8969.h5_-1,Jogador_e9be725b-8203-42fc-ab87-314bda035561.h5_-1,Jogador_0ef719c4-a8cf-4b41-968e-4ba57efe14ed.h5_-6,Jogador_96179f53-62da-4d42-b127-5e32bbc153a0.h5_-6,Jogador_cddaa02b-8b96-4341-b5b5-d16f7d2bbdc2.h5_-7,Jogador_32fd2957-fcec-4e9b-b679-c4e375a2631f.h5_-8,Jogador_22bb8756-ace1-4a19-8f2e-e7307616d9b8.h5_-11,Jogador_340f1938-f7ca-4a66-8857-061c7fa42762.h5_-12,Jogador_1bd7711e-7751-4253-ac8c-a5b270584a60.h5_-17,Jogador_a603f49b-55de-46f1-bc08-14b4c557f6ef.h5_-18,Jogador_caf4f6ea-9b1f-48de-b027-465a901daffc.h5_-23,Jogador_e3f2522a-cd02-4c1d-9137-5a92857bd2ba.h5_-6,Jogador_b6ee1713-e571-4503-944f-51ecae6ea67b.h5_-17,Jogador_6c0e689f-b1f1-4bf1-9faf-01e428d6598d.h5_-20,Jogador_a06c9e09-b42c-4a96-a928-fd119c6dc5b6.h5_-24,Jogador_ea126dea-33ee-46ea-96a5-2fb242fca70b.h5_-25,Jogador_75bbd1dd-9168-4d53-b365-00a9dffa9560.h5_-27,Jogador_c4f54846-a367-4676-b0e5-6acdd5a896d3.h5_-30,Jogador_541b2caa-4f4f-4844-948e-65566d22bf7f.h5_-31,Jogador_72d2b029-ece9-4d6f-8a59-da4536efc106.h5_-32,Jogador_3319f763-17bb-4412-b8b5-88a260713854.h5_-35,Jogador_99ee7f00-b75a-4018-884e-dc7dd7a374b3.h5_-38,Jogador_1e9fa29b-3d83-4d32-a052-1054fb1954e1.h5_-39,Jogador_02d8358b-9be9-4a81-a3e6-a3d6b58cc17e.h5_-42,Jogador_bacb3771-973c-45b3-a1dd-80c0760d25f2.h5_-48,Jogador_576203d0-93a6-428b-89f1-69705b705b95.h5_-55
Jogador_8e595bbb-783e-4d2e-8b42-b11fac200637.h5_10,Jogador_32fd2957-fcec-4e9b-b679-c4e375a2631f.h5_9,Jogador_cddaa02b-8b96-4341-b5b5-d16f7d2bbdc2.h5_4,Jogador_76114243-8543-44b1-ae8b-c05c3b119975.h5_1,Jogador_651bff5e-1c1c-4501-994f-26386828fd88.h5_-1,Jogador_0ef719c4-a8cf-4b41-968e-4ba57efe14ed.h5_-2,Jogador_0b01dc67-2308-47cc-acfa-e17d76612046.h5_-6,Jogador_15e3ce3f-4f4a-4e6a-a573-54525e8f8969.h5_-7,Jogador_e9be725b-8203-42fc-ab87-314bda035561.h5_-7,Jogador_9b8a28a7-5157-43e7-a1f8-a50756c7c984.h5_-7,Jogador_96179f53-62da-4d42-b127-5e32bbc153a0.h5_-11,Jogador_5b710c57-7bce-4869-807c-edfb927474e0.h5_-13,Jogador_9f0712ba-91d5-4fa3-952a-57e41998e8b1.h5_-15,Jogador_a04d9748-289d-47db-8e4f-0bcd59fab289.h5_-21,Jogador_a603f49b-55de-46f1-bc08-14b4c557f6ef.h5_-29,Jogador_3159aded-e2e8-49bc-aa0c-aa28b337e813.h5_-10,Jogador_22bb8756-ace1-4a19-8f2e-e7307616d9b8.h5_-13,Jogador_e492df0f-e96d-4633-8020-1e3da60a13f2.h5_-18,Jogador_4c9e914e-85f8-4545-8c5a-847bf928cbe9.h5_-21,Jogador_1bd7711e-7751-4253-ac8c-a5b270584a60.h5_-23,Jogador_caf4f6ea-9b1f-48de-b027-465a901daffc.h5_-23,Jogador_da53bc32-c30e-43da-b023-82519028992a.h5_-24,Jogador_ccb78a42-bb9a-42bc-9c1e-0fe58d108440.h5_-25,Jogador_340f1938-f7ca-4a66-8857-061c7fa42762.h5_-25,Jogador_4f816d1f-eb96-4a9a-b211-cb441d1bf7a3.h5_-29,Jogador_f9f4be30-05d5-4bf8-bf57-afae48294b0e.h5_-32,Jogador_7060a550-3fb0-445c-8a7e-90699beb3cb0.h5_-36,Jogador_b4f97d04-5a3d-4ceb-9c66-457923964f57.h5_-38,Jogador_cbf9fb13-f40e-40da-a949-903555014a63.h5_-56,Jogador_57dd5c61-122b-48a3-9de7-1ac04ef739d4.h5_-57
Jogador_0c85fbf8-5e49-4513-b4f2-f6e049be7644.h5_4,Jogador_e9be725b-8203-42fc-ab87-314bda035561.h5_3,Jogador_651bff5e-1c1c-4501-994f-26386828fd88.h5_3,Jogador_76114243-8543-44b1-ae8b-c05c3b119975.h5_3,Jogador_efa241bd-288f-4726-a398-bf24533283a8.h5_-1,Jogador_32fd2957-fcec-4e9b-b679-c4e375a2631f.h5_-1,Jogador_9b8a28a7-5157-43e7-a1f8-a50756c7c984.h5_-2,Jogador_0104d9bc-1372-4f54-b243-a0599cbafb11.h5_-5,Jogador_0b01dc67-2308-47cc-acfa-e17d76612046.h5_-6,Jogador_96179f53-62da-4d42-b127-5e32bbc153a0.h5_-7,Jogador_15e3ce3f-4f4a-4e6a-a573-54525e8f8969.h5_-9,Jogador_ee123bd1-2f3d-4017-b616-4d4cb23046d7.h5_-10,Jogador_cddaa02b-8b96-4341-b5b5-d16f7d2bbdc2.h5_-11,Jogador_0ef719c4-a8cf-4b41-968e-4ba57efe14ed.h5_-14,Jogador_ee981764-346c-4270-806b-18ad9abf74e9.h5_-17,Jogador_8e595bbb-783e-4d2e-8b42-b11fac200637.h5_-5,Jogador_143aab51-b828-4b08-970b-291c643b985b.h5_-25,Jogador_5b710c57-7bce-4869-807c-edfb927474e0.h5_-25,Jogador_2e2651a0-089f-4686-8219-1e8db8475ff4.h5_-26,Jogador_c1bef2b4-e713-4597-9db3-319ff6471f57.h5_-28,Jogador_9f0712ba-91d5-4fa3-952a-57e41998e8b1.h5_-29,Jogador_a04d9748-289d-47db-8e4f-0bcd59fab289.h5_-29,Jogador_93f30e7b-3e4b-497a-ad4b-20acfc94b8f6.h5_-32,Jogador_a71f4240-92de-4990-b58d-fc020464c4ff.h5_-32,Jogador_9141e3ca-ae7c-4458-92f8-a207f627639c.h5_-35,Jogador_83bde13b-b2ad-4cb8-9d40-675b6fe236d9.h5_-37,Jogador_a603f49b-55de-46f1-bc08-14b4c557f6ef.h5_-44,Jogador_7253d278-0cd9-4922-b14d-a02082e2f007.h5_-44,Jogador_4d6425d1-f280-4898-a2d8-f59807063dce.h5_-46,Jogador_56ebd8cd-2259-4be5-ae4f-0f3687df466f.h5_-54
Jogador_ee948a97-3359-4f99-9720-0d893f3785a5.h5_10,Jogador_98cf045a-f6d9-49e2-8d1e-3c41a66b8d76.h5_5,Jogador_cddaa02b-8b96-4341-b5b5-d16f7d2bbdc2.h5_1,Jogador_15e3ce3f-4f4a-4e6a-a573-54525e8f8969.h5_-1,Jogador_22a1c8ed-95a2-4675-aed4-5763d7a35438.h5_-4,Jogador_e9be725b-8203-42fc-ab87-314bda035561.h5_-7,Jogador_efa241bd-288f-4726-a398-bf24533283a8.h5_-9,Jogador_651bff5e-1c1c-4501-994f-26386828fd88.h5_-9,Jogador_46282d08-d527-4304-aaa1-77ee97bfe47c.h5_-10,Jogador_0ef719c4-a8cf-4b41-968e-4ba57efe14ed.h5_-10,Jogador_0b01dc67-2308-47cc-acfa-e17d76612046.h5_-12,Jogador_76114243-8543-44b1-ae8b-c05c3b119975.h5_-13,Jogador_9b8a28a7-5157-43e7-a1f8-a50756c7c984.h5_-17,Jogador_ee981764-346c-4270-806b-18ad9abf74e9.h5_-21,Jogador_0c85fbf8-5e49-4513-b4f2-f6e049be7644.h5_-24,Jogador_0104d9bc-1372-4f54-b243-a0599cbafb11.h5_-8,Jogador_32fd2957-fcec-4e9b-b679-c4e375a2631f.h5_-15,Jogador_7b0eacad-830e-4515-a66e-562db9c5809f.h5_-20,Jogador_96179f53-62da-4d42-b127-5e32bbc153a0.h5_-22,Jogador_f616b0c4-98a8-45ce-9dd2-eb6ecb594db2.h5_-26,Jogador_c3c5d933-79fd-4b5f-aadb-bf257fa5d3ed.h5_-29,Jogador_ef7d0d3a-53a3-46d0-b249-e9ec5f9cc311.h5_-29,Jogador_c1dbbee4-0376-4877-875d-9f7171a02666.h5_-30,Jogador_44cbde3d-50a0-4c32-9766-624a01bcb284.h5_-30,Jogador_7b9546c2-5152-434e-9f1a-c7981374d83f.h5_-32,Jogador_ee123bd1-2f3d-4017-b616-4d4cb23046d7.h5_-34,Jogador_61630154-3c88-4c1b-a905-c1259cb0b164.h5_-36,Jogador_3ce3b75f-e969-433a-8539-b1a2a5d33186.h5_-38,Jogador_f2cb75db-3a26-498b-8b92-5080f56f7382.h5_-39,Jogador_76d28a59-df31-4d3c-a07c-6f820441485f.h5_-54
Jogador_b451d90a-e06a-4edc-8392-bd2b9ac801fd.h5_4,Jogador_76114243-8543-44b1-ae8b-c05c3b119975.h5_1,Jogador_ee948a97-3359-4f99-9720-0d893f3785a5.h5_0,Jogador_9b8a28a7-5157-43e7-a1f8-a50756c7c984.h5_-1,Jogador_9ae2e37d-af79-4b43-a422-4878347a95e7.h5_-3,Jogador_0b01dc67-2308-47cc-acfa-e17d76612046.h5_-5,Jogador_98cf045a-f6d9-49e2-8d1e-3c41a66b8d76.h5_-8,Jogador_651bff5e-1c1c-4501-994f-26386828fd88.h5_-8,Jogador_e9be725b-8203-42fc-ab87-314bda035561.h5_-9,Jogador_cddaa02b-8b96-4341-b5b5-d16f7d2bbdc2.h5_-12,Jogador_22a1c8ed-95a2-4675-aed4-5763d7a35438.h5_-16,Jogador_efa241bd-288f-4726-a398-bf24533283a8.h5_-19,Jogador_0e537cad-f9e1-49b7-bf54-5bd7e37d5b45.h5_-22,Jogador_0c85fbf8-5e49-4513-b4f2-f6e049be7644.h5_-23,Jogador_0ef719c4-a8cf-4b41-968e-4ba57efe14ed.h5_-24,Jogador_15e3ce3f-4f4a-4e6a-a573-54525e8f8969.h5_-3,Jogador_46282d08-d527-4304-aaa1-77ee97bfe47c.h5_-11,Jogador_1fa13a46-fafd-4a69-8a34-9b5b095b812c.h5_-15,Jogador_1a4d4367-664c-4d4b-9524-0b151d5a72f7.h5_-25,Jogador_3f5d7ad3-b730-41c0-9c93-1858e3432d1c.h5_-27,Jogador_5ad42f09-a13c-4a4e-8664-899e05475788.h5_-28,Jogador_f67823a2-90e4-482d-aab9-73c75fd7eb04.h5_-30,Jogador_80200b91-ce51-40c1-b2a3-8cc70b9990a2.h5_-30,Jogador_74e3fa46-2fb6-455d-af78-c123e93c1f5d.h5_-31,Jogador_ee981764-346c-4270-806b-18ad9abf74e9.h5_-33,Jogador_b9b6cd03-22d6-4291-8c90-81aaae709a67.h5_-35,Jogador_fc9b30c0-13fe-489d-abeb-0d9b6965ec9e.h5_-35,Jogador_7286c418-3ee2-4bcc-99b1-d518b2f04d4f.h5_-35,Jogador_c6e2e1a4-dabb-4cd2-99c5-e2640bbeba01.h5_-39,Jogador_ae02f9c6-09f8-4c71-9144-9a9d3bb31cc4.h5_-43
Jogador_5b8d0f16-1eab-4c09-9915-fcd4545846da.h5_12,Jogador_e9be725b-8203-42fc-ab87-314bda035561.h5_1,Jogador_b451d90a-e06a-4edc-8392-bd2b9ac801fd.h5_-6,Jogador_0b01dc67-2308-47cc-acfa-e17d76612046.h5_-6,Jogador_4c0efb15-3780-45f9-b580-059bded59525.h5_-6,Jogador_9ae2e37d-af79-4b43-a422-4878347a95e7.h5_-7,Jogador_76114243-8543-44b1-ae8b-c05c3b119975.h5_-7,Jogador_0c85fbf8-5e49-4513-b4f2-f6e049be7644.h5_-12,Jogador_cddaa02b-8b96-4341-b5b5-d16f7d2bbdc2.h5_-13,Jogador_22a1c8ed-95a2-4675-aed4-5763d7a35438.h5_-14,Jogador_9b8a28a7-5157-43e7-a1f8-a50756c7c984.h5_-15,Jogador_651bff5e-1c1c-4501-994f-26386828fd88.h5_-18,Jogador_5f65d597-8997-4a40-91ec-615bacd4e635.h5_-21,Jogador_efa241bd-288f-4726-a398-bf24533283a8.h5_-25,Jogador_0e537cad-f9e1-49b7-bf54-5bd7e37d5b45.h5_-34,Jogador_98cf045a-f6d9-49e2-8d1e-3c41a66b8d76.h5_-12,Jogador_d7527d60-8c45-43e0-af6d-35c855f701b5.h5_-13,Jogador_ad73f02c-6c67-42bf-9d28-20bbd9eb0a99.h5_-15,Jogador_ee948a97-3359-4f99-9720-0d893f3785a5.h5_-17,Jogador_93bee644-4dbe-41b1-acf1-2f7145bb2500.h5_-20,Jogador_e1ff13f5-63ae-469f-932e-7b9b5a46119e.h5_-23,Jogador_3fcf75cc-6b85-43e0-a25d-94f239e18364.h5_-24,Jogador_535a0833-c55a-4d84-96c5-bef50c21dfc9.h5_-26,Jogador_0ef719c4-a8cf-4b41-968e-4ba57efe14ed.h5_-27,Jogador_3725521f-eaed-4084-b7bb-d7d7a136bb7b.h5_-29,Jogador_97a6ccb5-1491-48c7-b5ac-85074325db26.h5_-29,Jogador_51b04afd-0f6b-4ba4-b127-619d24b97e12.h5_-32,Jogador_73905f86-89e4-4bfe-8917-32641bc93bc5.h5_-35,Jogador_bd5496a4-2ed6-400e-86bb-5f1e0aba95d3.h5_-42,Jogador_ee6770c1-d24d-47cc-9115-f97e4b274a6a.h5_-45
