jogador1,jogador2,jogador3,jogador4,jogador5,jogador6,jogador7,jogador8,jogador9,jogador10,jogador11,jogador12,jogador13,jogador14,jogador15,jogador16,jogador17,jogador18,jogador19,jogador20,jogador21,jogador22,jogador23,jogador24,jogador25,jogador26,jogador27,jogador28,jogador29
Jogador_e8c7b014-9c64-4529-b4db-1cb4821fca16.h5_17,Jogador_71323855-1a99-4e2b-bb46-2f591b39d61a.h5_15,Jogador_22ddff7b-e6a5-43b7-97e8-5c84a6ba7199.h5_14,Jogador_955c6874-a1f2-4c05-88ad-3ec0acc1b1e7.h5_5,Jogador_85a2c1d8-2b0f-4943-b97e-4b687d38c243.h5_3,Jogador_2c8961fc-1f3d-440d-9114-aebe41627746.h5_-5,Jogador_81140b48-e265-4242-9a1e-95f02d48f4b0.h5_-6,Jogador_2d36efcb-6685-46df-bde8-9af557612b76.h5_-7,Jogador_2864a389-963b-4c66-8f00-a4fec3350d84.h5_-7,Jogador_21d4ee2a-7eaa-421d-9f79-04580a21f705.h5_-8,Jogador_37054353-67e2-44c1-bda5-c41af3973fee.h5_-11,Jogador_e313062e-5555-4d37-aa0f-7af882c617b0.h5_-13,Jogador_9291cbec-8f95-41df-8d3c-b60fab762b18.h5_-13,Jogador_ef67ea68-89ee-4b60-9c7f-0dc2a12f8420.h5_-14,Jogador_d184c00e-c26b-433b-98bb-e8cad1a4d508.h5_-22,Jogador_86b6b43f-db1d-44d4-ba75-0b9e457cf741.h5_-23,Jogador_ff59aaac-785d-4bbf-91d8-f855b3fc71b0.h5_-24,Jogador_4ba02251-2c4e-4179-afcb-d913f284f1fd.h5_-24,Jogador_4e433d80-2984-4d43-866b-604ea6b31726.h5_-25,Jogador_81f4f925-0dc0-48e3-9678-d79cdb9688af.h5_-25,Jogador_eb715c54-2f01-404c-88bc-8cab3bc80a16.h5_-26,Jogador_5276c0e3-86d9-40a3-9854-ecf15e75b3ad.h5_-27,Jogador_fee4e767-65cd-415f-8994-02f4f88e4b90.h5_-28,Jogador_b681de4b-73ad-4b3e-aa7d-e5b52ba16851.h5_-28,Jogador_8dd777f8-ff6b-4cfa-9d1f-03e80af1e77d.h5_-30,Jogador_bfca27e7-d321-44cd-882e-20d598e98185.h5_-32,Jogador_be4ef946-31a8-47bb-9d77-30e5a15ec5d1.h5_-34,Jogador_78b856d2-4dd5-46d4-81e5-1ba7955bbfae.h5_-40,Jogador_8932f10a-5c68-43d0-ab3c-1300f2a773b3.h5_-47,Jogador_8ed17eaa-98f8-462d-8811-f30d24b92176.h5_-52
Jogador_71323855-1a99-4e2b-bb46-2f591b39d61a.h5_25,Jogador_22ddff7b-e6a5-43b7-97e8-5c84a6ba7199.h5_24,Jogador_e8c7b014-9c64-4529-b4db-1cb4821fca16.h5_15,Jogador_c141319a-78f1-4645-8424-8de5c60a7dbc.h5_4,Jogador_2daebf05-d3c3-4a63-b87a-fbe936be7acc.h5_1,Jogador_2c8961fc-1f3d-440d-9114-aebe41627746.h5_-9,Jogador_a28f5c03-4bcf-4051-a40e-864e48ddea1f.h5_-12,Jogador_a2f258a8-738d-444e-b78f-1ab96daffda3.h5_-15,Jogador_ef67ea68-89ee-4b60-9c7f-0dc2a12f8420.h5_-15,Jogador_2a2d9986-c5d8-4007-9176-b3fcc3791a01.h5_-17,Jogador_85a2c1d8-2b0f-4943-b97e-4b687d38c243.h5_-19,Jogador_e313062e-5555-4d37-aa0f-7af882c617b0.h5_-21,Jogador_2864a389-963b-4c66-8f00-a4fec3350d84.h5_-22,Jogador_37054353-67e2-44c1-bda5-c41af3973fee.h5_-23,Jogador_d184c00e-c26b-433b-98bb-e8cad1a4d508.h5_-25,Jogador_0498b418-6eda-45bf-ac79-cde60133ed46.h5_20,Jogador_955c6874-a1f2-4c05-88ad-3ec0acc1b1e7.h5_-4,Jogador_60068b42-057d-455e-9d4f-59caa2b1d4a5.h5_-8,Jogador_baa032d0-41a2-44dd-95b4-105c8161c2ef.h5_-19,Jogador_060eaeda-a3e1-4e30-b2ab-8c1694f91874.h5_-24,Jogador_d19bc9f9-03b6-4419-84aa-06c22c85f923.h5_-26,Jogador_81140b48-e265-4242-9a1e-95f02d48f4b0.h5_-27,Jogador_faa9cdbf-d7c3-4a11-9375-7c476b928056.h5_-32,Jogador_d7d8b647-4f8c-470e-9c08-43027fa976b3.h5_-34,Jogador_889ed50a-aab0-4bdf-ad85-01354115777f.h5_-35,Jogador_9291cbec-8f95-41df-8d3c-b60fab762b18.h5_-37,Jogador_67f661b8-950f-4640-8d5f-0815553ad127.h5_-38,Jogador_21d4ee2a-7eaa-421d-9f79-04580a21f705.h5_-38,Jogador_2d36efcb-6685-46df-bde8-9af557612b76.h5_-44,Jogador_84c9848d-e8aa-498a-a8e2-dc75c71836ee.h5_-47
Jogador_a9294a52-6b2d-4085-b3de-be2ff414d36c.h5_10,Jogador_e8c7b014-9c64-4529-b4db-1cb4821fca16.h5_8,Jogador_882afcf8-f30c-4406-9937-1a6dd4037154.h5_7,Jogador_71323855-1a99-4e2b-bb46-2f591b39d61a.h5_5,Jogador_4b890b33-8b7a-4165-827f-8e11ce51c630.h5_-5,Jogador_20bc9ef1-353b-4667-a316-a3cf83a686de.h5_-8,Jogador_d184c00e-c26b-433b-98bb-e8cad1a4d508.h5_-9,Jogador_1abf7a2f-3483-42f6-8828-8eae7d1c9895.h5_-10,Jogador_2c8961fc-1f3d-440d-9114-aebe41627746.h5_-14,Jogador_a28f5c03-4bcf-4051-a40e-864e48ddea1f.h5_-18,Jogador_024cf522-8a34-443f-878e-70cf1623d635.h5_-18,Jogador_37054353-67e2-44c1-bda5-c41af3973fee.h5_-20,Jogador_ef67ea68-89ee-4b60-9c7f-0dc2a12f8420.h5_-23,Jogador_a4341f95-2396-4c3a-acf2-e49cbcc8e9cf.h5_-25,Jogador_a5c28e00-4967-47d9-bcb3-4258032f3c61.h5_-30,Jogador_2daebf05-d3c3-4a63-b87a-fbe936be7acc.h5_7,Jogador_620cd3f3-c88b-4502-8ff4-fc424feebd2f.h5_6,Jogador_22ddff7b-e6a5-43b7-97e8-5c84a6ba7199.h5_2,Jogador_a06debcf-57ab-4089-87fe-2bed5e484b9a.h5_1,Jogador_c141319a-78f1-4645-8424-8de5c60a7dbc.h5_-14,Jogador_2864a389-963b-4c66-8f00-a4fec3350d84.h5_-21,Jogador_a777a6d6-41c3-42e8-89f5-e78a085389ad.h5_-22,Jogador_85a2c1d8-2b0f-4943-b97e-4b687d38c243.h5_-24,Jogador_8c8cc1f1-2571-405a-9647-893941dbf84b.h5_-26,Jogador_2a2d9986-c5d8-4007-9176-b3fcc3791a01.h5_-27,Jogador_6456e548-2afe-424a-ab15-82ca076c76b9.h5_-27,Jogador_99bb7c43-06a1-47b0-836e-174cebe05dbd.h5_-31,Jogador_e313062e-5555-4d37-aa0f-7af882c617b0.h5_-37,Jogador_7d7e8c80-8d7e-4dd2-86ad-96c134de3205.h5_-39,Jogador_a2f258a8-738d-444e-b78f-1ab96daffda3.h5_-40
Jogador_d7d6fd99-1803-493c-863e-6eadfe465652.h5_22,Jogador_71323855-1a99-4e2b-bb46-2f591b39d61a.h5_9,Jogador_e8c7b014-9c64-4529-b4db-1cb4821fca16.h5_4,Jogador_54a180a1-0f3c-4721-862c-64c84cf55bcc.h5_1,Jogador_a5b344b1-4c16-43e3-b1b5-f8328f774ca1.h5_0,Jogador_440bcb86-9bd2-417e-b260-f111284743f1.h5_-12,Jogador_20bc9ef1-353b-4667-a316-a3cf83a686de.h5_-14,Jogador_1abf7a2f-3483-42f6-8828-8eae7d1c9895.h5_-15,Jogador_2c8961fc-1f3d-440d-9114-aebe41627746.h5_-16,Jogador_d184c00e-c26b-433b-98bb-e8cad1a4d508.h5_-18,Jogador_9d889551-afc5-465b-a198-bded4e493ced.h5_-19,Jogador_a28f5c03-4bcf-4051-a40e-864e48ddea1f.h5_-19,Jogador_a4341f95-2396-4c3a-acf2-e49cbcc8e9cf.h5_-19,Jogador_37054353-67e2-44c1-bda5-c41af3973fee.h5_-22,Jogador_ef67ea68-89ee-4b60-9c7f-0dc2a12f8420.h5_-22,Jogador_882afcf8-f30c-4406-9937-1a6dd4037154.h5_7,Jogador_a9294a52-6b2d-4085-b3de-be2ff414d36c.h5_0,Jogador_3cc2ebb9-dbec-4825-be80-743a7d9be80c.h5_-9,Jogador_7d3bdf8d-5663-46ff-a049-49dceb029e55.h5_-19,Jogador_024cf522-8a34-443f-878e-70cf1623d635.h5_-19,Jogador_4b890b33-8b7a-4165-827f-8e11ce51c630.h5_-20,Jogador_325fd7d4-6323-4188-9b08-e9ea631da18e.h5_-26,Jogador_71627d71-509c-48fa-b9e6-30eae81323d6.h5_-27,Jogador_a5c28e00-4967-47d9-bcb3-4258032f3c61.h5_-28,Jogador_b044c771-1002-4b86-9c03-2d3183f094df.h5_-28,Jogador_57d983a3-c677-496c-b2cc-12d0bda4ccb7.h5_-32,Jogador_7aaf812a-f52b-4576-84e1-17ea02cdf384.h5_-33,Jogador_e99b85d4-efc6-4d28-959a-88ce5be2e5ec.h5_-34,Jogador_5644815d-10d0-49f8-b881-84eca81213bb.h5_-39,Jogador_dce709dc-b52c-4b90-9feb-75d45cffcd42.h5_-46
Jogador_71323855-1a99-4e2b-bb46-2f591b39d61a.h5_12,Jogador_bf55d371-4bc4-46a7-b538-de1471c40194.h5_10,Jogador_54a180a1-0f3c-4721-862c-64c84cf55bcc.h5_7,Jogador_e8c7b014-9c64-4529-b4db-1cb4821fca16.h5_6,Jogador_a5b344b1-4c16-43e3-b1b5-f8328f774ca1.h5_-3,Jogador_7c248441-ed40-47bd-8de9-7611c4069d0c.h5_-4,Jogador_ab9993e1-1b28-4317-90d9-0631c8569f15.h5_-5,Jogador_1667f05e-f991-4eeb-897e-e79afb2eb2d2.h5_-11,Jogador_95e1a36e-42ed-42f6-b744-8550aab983c6.h5_-13,Jogador_2ddb09fb-4484-4c99-97d9-9145865802d7.h5_-14,Jogador_cec5a777-ea50-4667-9c12-626ab8437345.h5_-16,Jogador_440bcb86-9bd2-417e-b260-f111284743f1.h5_-19,Jogador_20bc9ef1-353b-4667-a316-a3cf83a686de.h5_-20,Jogador_1abf7a2f-3483-42f6-8828-8eae7d1c9895.h5_-21,Jogador_a4341f95-2396-4c3a-acf2-e49cbcc8e9cf.h5_-25,Jogador_d7d6fd99-1803-493c-863e-6eadfe465652.h5_8,Jogador_09200a2e-b382-470a-915e-ac7a7b30a99f.h5_7,Jogador_76d1b3e6-e856-4bab-a2dd-34c1927071ad.h5_-7,Jogador_9d889551-afc5-465b-a198-bded4e493ced.h5_-24,Jogador_f088acee-d239-4f8f-b0fb-1a8e1c7d9c7e.h5_-24,Jogador_ef67ea68-89ee-4b60-9c7f-0dc2a12f8420.h5_-24,Jogador_a28f5c03-4bcf-4051-a40e-864e48ddea1f.h5_-25,Jogador_c3c92933-0563-43af-8a0b-3827d54c158d.h5_-26,Jogador_d184c00e-c26b-433b-98bb-e8cad1a4d508.h5_-26,Jogador_2c8961fc-1f3d-440d-9114-aebe41627746.h5_-27,Jogador_d2df66cc-b8b6-43a6-aa8a-3f5816ea587d.h5_-30,Jogador_37054353-67e2-44c1-bda5-c41af3973fee.h5_-36,Jogador_724c3f8b-7455-4553-ad80-4b847879f348.h5_-37,Jogador_30d82933-9bc6-4c42-8221-cb456558ec91.h5_-46,Jogador_a0aa99e8-342d-40cf-87a5-6a2cf8aff563.h5_-54
Jogador_089fde17-3c16-4c41-ba8e-dba3db772e6f.h5_14,Jogador_54a180a1-0f3c-4721-862c-64c84cf55bcc.h5_7,Jogador_71323855-1a99-4e2b-bb46-2f591b39d61a.h5_7,Jogador_6f4eb4b1-4112-45e5-8583-3b580249e9c6.h5_-1,Jogador_59120174-7c7d-4fec-a242-8eb0e344b666.h5_-2,Jogador_a5b344b1-4c16-43e3-b1b5-f8328f774ca1.h5_-3,Jogador_6fad4fe1-5854-42dd-9c7e-1a08e3e2510a.h5_-5,Jogador_e33f7451-efa5-40d4-913b-5b9d6c8db6e9.h5_-7,Jogador_5a366c58-703c-4a75-81c6-e57ccf70dd69.h5_-9,Jogador_1f3b4f32-7c15-4043-834c-9b65f290d0b2.h5_-16,Jogador_2ddb09fb-4484-4c99-97d9-9145865802d7.h5_-18,Jogador_cec5a777-ea50-4667-9c12-626ab8437345.h5_-20,Jogador_6effde3f-c5f0-49d7-b00a-fa5fbb7ba069.h5_-22,Jogador_95e1a36e-42ed-42f6-b744-8550aab983c6.h5_-24,Jogador_7ee1ead9-1db6-4301-83e4-1f10e5b6beb8.h5_-44,Jogador_bf55d371-4bc4-46a7-b538-de1471c40194.h5_5,Jogador_1834d629-9ff1-4d0d-b1a0-d0797c4763f6.h5_4,Jogador_ae4eaa9f-3900-4634-8138-24a4afff6c8a.h5_-7,Jogador_8a984e43-38eb-42f0-ae59-caa21b4a551b.h5_-15,Jogador_e8c7b014-9c64-4529-b4db-1cb4821fca16.h5_-15,Jogador_ab9993e1-1b28-4317-90d9-0631c8569f15.h5_-20,Jogador_03eec81c-154c-4604-bcad-eaa9a8958026.h5_-21,Jogador_20bc9ef1-353b-4667-a316-a3cf83a686de.h5_-22,Jogador_7c248441-ed40-47bd-8de9-7611c4069d0c.h5_-23,Jogador_440bcb86-9bd2-417e-b260-f111284743f1.h5_-24,Jogador_1667f05e-f991-4eeb-897e-e79afb2eb2d2.h5_-36,Jogador_1abf7a2f-3483-42f6-8828-8eae7d1c9895.h5_-37,Jogador_05a08d4a-eff8-46a1-9cf5-8c7a347250b6.h5_-37,Jogador_efa722b1-fcbf-4a84-959a-d32fd719cfbd.h5_-42,Jogador_a4341f95-2396-4c3a-acf2-e49cbcc8e9cf.h5_-44
Jogador_71323855-1a99-4e2b-bb46-2f591b39d61a.h5_15,Jogador_ffcea164-3323-4ce5-a1fd-61e46188ac2c.h5_11,Jogador_6f4eb4b1-4112-45e5-8583-3b580249e9c6.h5_3,Jogador_59120174-7c7d-4fec-a242-8eb0e344b666.h5_0,Jogador_6fad4fe1-5854-42dd-9c7e-1a08e3e2510a.h5_-1,Jogador_07fbff20-5ab4-4c26-8d88-9a7b00f7b6c0.h5_-2,Jogador_4cb67df0-e664-4127-8ae6-d7db8de1e89a.h5_-5,Jogador_a5b344b1-4c16-43e3-b1b5-f8328f774ca1.h5_-16,Jogador_e33f7451-efa5-40d4-913b-5b9d6c8db6e9.h5_-17,Jogador_2ddb09fb-4484-4c99-97d9-9145865802d7.h5_-18,Jogador_2c0b0659-dc43-4ead-b50d-91c8252cc7eb.h5_-19,Jogador_22c95584-5b0c-42a7-8ec8-3ee376eecf59.h5_-22,Jogador_c1b6e84c-7a61-4fe5-82de-0c64981f0f77.h5_-22,Jogador_5a366c58-703c-4a75-81c6-e57ccf70dd69.h5_-24,Jogador_7ee1ead9-1db6-4301-83e4-1f10e5b6beb8.h5_-44,Jogador_089fde17-3c16-4c41-ba8e-dba3db772e6f.h5_4,Jogador_377b7dcb-11c7-4c13-8774-22a4d1c295f1.h5_-6,Jogador_54a180a1-0f3c-4721-862c-64c84cf55bcc.h5_-8,Jogador_d4a77e7d-6885-47a9-85fe-eb42dd8f561e.h5_-8,Jogador_cec5a777-ea50-4667-9c12-626ab8437345.h5_-16,Jogador_7aaf2083-9031-447c-9407-2daa11bb225b.h5_-21,Jogador_29642b5b-9336-40a4-8005-b61bc877dede.h5_-23,Jogador_6effde3f-c5f0-49d7-b00a-fa5fbb7ba069.h5_-24,Jogador_95e1a36e-42ed-42f6-b744-8550aab983c6.h5_-24,Jogador_4571b3c5-4eda-45b5-8358-73743410c4b0.h5_-25,Jogador_1f3b4f32-7c15-4043-834c-9b65f290d0b2.h5_-26,Jogador_0f5dacf7-b205-43a4-b5ef-79dd30ee715f.h5_-31,Jogador_17dd9ecd-02ea-46de-88b3-d476415193dc.h5_-33,Jogador_d16ead24-beba-4a59-bfd4-41d87a5e85b4.h5_-36,Jogador_1d3c0f40-524d-4d7e-aa62-c11429662c11.h5_-48
Jogador_ffcea164-3323-4ce5-a1fd-61e46188ac2c.h5_12,Jogador_71323855-1a99-4e2b-bb46-2f591b39d61a.h5_11,Jogador_04db3012-e40e-48e1-a646-8c217fabd772.h5_7,Jogador_59120174-7c7d-4fec-a242-8eb0e344b666.h5_-2,Jogador_6fad4fe1-5854-42dd-9c7e-1a08e3e2510a.h5_-3,Jogador_6f4eb4b1-4112-45e5-8583-3b580249e9c6.h5_-3,Jogador_22c95584-5b0c-42a7-8ec8-3ee376eecf59.h5_-5,Jogador_6ff99502-0307-4bbc-805c-d5daf869c52b.h5_-11,Jogador_07fbff20-5ab4-4c26-8d88-9a7b00f7b6c0.h5_-12,Jogador_9fb5f313-bd6b-42a8-87db-fb8cd9ff9cce.h5_-14,Jogador_a5b344b1-4c16-43e3-b1b5-f8328f774ca1.h5_-14,Jogador_58aa915a-f672-4d13-bd25-77cddbf3854c.h5_-17,Jogador_5a366c58-703c-4a75-81c6-e57ccf70dd69.h5_-18,Jogador_df57346e-006f-474a-846f-80d7176547fb.h5_-20,Jogador_2c0b0659-dc43-4ead-b50d-91c8252cc7eb.h5_-21,Jogador_282eb502-a9b9-4910-80cd-37ce5458825b.h5_7,Jogador_4cb67df0-e664-4127-8ae6-d7db8de1e89a.h5_-5,Jogador_0f644d2f-c3aa-41b6-8074-6e9c46d448c5.h5_-11,Jogador_c4929971-ee7c-4c5c-9fb4-d91115415a1c.h5_-11,Jogador_bb0c32f1-6054-49d9-b441-49a3d75b866d.h5_-23,Jogador_c1b6e84c-7a61-4fe5-82de-0c64981f0f77.h5_-24,Jogador_bb5df383-c7a1-4a6c-b3af-b67074db517d.h5_-24,Jogador_dec9d35c-bc6c-4601-a95f-3b07ab393938.h5_-25,Jogador_2ddb09fb-4484-4c99-97d9-9145865802d7.h5_-25,Jogador_8a18acb9-ba47-4435-8df3-35a52971615b.h5_-30,Jogador_e33f7451-efa5-40d4-913b-5b9d6c8db6e9.h5_-31,Jogador_59ecda91-17d4-460c-b73d-28b5c05bb41d.h5_-33,Jogador_57f837a0-d650-40d2-9056-19756586b0ae.h5_-34,Jogador_cca33237-91c4-4b8a-9b19-6b56c8d01ed6.h5_-35,Jogador_7ee1ead9-1db6-4301-83e4-1f10e5b6beb8.h5_-51
Jogador_03579458-0931-4c8e-849c-3d054aaf824e.h5_22,Jogador_71323855-1a99-4e2b-bb46-2f591b39d61a.h5_12,Jogador_04db3012-e40e-48e1-a646-8c217fabd772.h5_11,Jogador_6fad4fe1-5854-42dd-9c7e-1a08e3e2510a.h5_3,Jogador_ffcea164-3323-4ce5-a1fd-61e46188ac2c.h5_-1,Jogador_e7b2d4f7-082c-43fa-9942-a52d127db9e1.h5_-2,Jogador_3148a7d4-0183-4956-95b7-b65e89b959d4.h5_-6,Jogador_90b60258-5107-4e34-a746-f7150a8155c6.h5_-11,Jogador_7471b0fd-62ad-4584-a841-50819d9b6714.h5_-12,Jogador_59120174-7c7d-4fec-a242-8eb0e344b666.h5_-16,Jogador_7a419726-a673-4850-88a6-6a06390a43f4.h5_-20,Jogador_2c0b0659-dc43-4ead-b50d-91c8252cc7eb.h5_-21,Jogador_6ff99502-0307-4bbc-805c-d5daf869c52b.h5_-22,Jogador_58aa915a-f672-4d13-bd25-77cddbf3854c.h5_-24,Jogador_df57346e-006f-474a-846f-80d7176547fb.h5_-27,Jogador_34a48567-83d1-43bb-94e4-1904310e5bfe.h5_-1,Jogador_35318b44-06a4-49a6-805b-6244e0a2aeb5.h5_-6,Jogador_6f4eb4b1-4112-45e5-8583-3b580249e9c6.h5_-12,Jogador_6b5e7daf-41fc-42dd-b97e-1fcce1d6cc23.h5_-14,Jogador_22c95584-5b0c-42a7-8ec8-3ee376eecf59.h5_-14,Jogador_9fb5f313-bd6b-42a8-87db-fb8cd9ff9cce.h5_-15,Jogador_07fbff20-5ab4-4c26-8d88-9a7b00f7b6c0.h5_-18,Jogador_5fd3e663-7915-48f0-bb63-6587365a6526.h5_-19,Jogador_c3e87098-cd46-4248-af4d-e147ccb87d9a.h5_-21,Jogador_a5b344b1-4c16-43e3-b1b5-f8328f774ca1.h5_-22,Jogador_5a366c58-703c-4a75-81c6-e57ccf70dd69.h5_-23,Jogador_29eab441-68ed-4115-bceb-1e051ab1bfff.h5_-25,Jogador_621e0838-9df2-424b-971d-e81a502f541b.h5_-34,Jogador_c68d2dd6-8e23-47cd-b084-1658eb722a19.h5_-40,Jogador_234f751c-6f96-4bb3-9a5b-e46eeb86b95d.h5_-52
Jogador_03579458-0931-4c8e-849c-3d054aaf824e.h5_17,Jogador_931c1d0e-91f8-4cd9-bb62-166bdbdf0b7b.h5_15,Jogador_04db3012-e40e-48e1-a646-8c217fabd772.h5_5,Jogador_71323855-1a99-4e2b-bb46-2f591b39d61a.h5_5,Jogador_a01bd50d-d6c3-4b27-b5ae-befec2130139.h5_2,Jogador_50a4410e-15f1-4827-a551-73306cb1a216.h5_-3,Jogador_2c0b0659-dc43-4ead-b50d-91c8252cc7eb.h5_-7,Jogador_bf37d5fc-6fd8-48ce-a5b9-2393fcd5ee02.h5_-10,Jogador_90b60258-5107-4e34-a746-f7150a8155c6.h5_-13,Jogador_c55fd835-f39a-4087-963c-6c928b6d6bb4.h5_-13,Jogador_017b0fb5-ab0e-4b30-bfac-d6fb2a68f162.h5_-15,Jogador_336453e7-ec7c-43e0-ba96-93bcf662ce28.h5_-16,Jogador_59120174-7c7d-4fec-a242-8eb0e344b666.h5_-16,Jogador_6f385498-895e-4142-96cd-17614ce3b858.h5_-17,Jogador_d8234712-238f-4cc2-aa31-0832e46d2da6.h5_-21,Jogador_e7b2d4f7-082c-43fa-9942-a52d127db9e1.h5_-1,Jogador_ffcea164-3323-4ce5-a1fd-61e46188ac2c.h5_-9,Jogador_4d5b0766-c018-4013-96a8-572e51b0c2da.h5_-15,Jogador_6fad4fe1-5854-42dd-9c7e-1a08e3e2510a.h5_-15,Jogador_6a650924-ab26-418c-9b2a-96b7e53e82ab.h5_-19,Jogador_32546b8d-9ec5-4d19-8d75-8d60733a2dec.h5_-19,Jogador_3148a7d4-0183-4956-95b7-b65e89b959d4.h5_-23,Jogador_7a419726-a673-4850-88a6-6a06390a43f4.h5_-23,Jogador_7471b0fd-62ad-4584-a841-50819d9b6714.h5_-23,Jogador_0e06d25a-4ca0-47fe-9bea-c97d9806f0cc.h5_-26,Jogador_6ff99502-0307-4bbc-805c-d5daf869c52b.h5_-26,Jogador_58aa915a-f672-4d13-bd25-77cddbf3854c.h5_-28,Jogador_63e347f4-f21a-454e-bdbf-6267943a47c6.h5_-30,Jogador_df57346e-006f-474a-846f-80d7176547fb.h5_-35,Jogador_15a39d3e-bf8a-40cf-869e-6d7bc442ea7c.h5_-37
