jogador1,jogador2,jogador3,jogador4,jogador5,jogador6,jogador7,jogador8,jogador9,jogador10,jogador11,jogador12,jogador13,jogador14,jogador15,jogador16,jogador17,jogador18,jogador19,jogador20,jogador21,jogador22,jogador23,jogador24,jogador25,jogador26,jogador27,jogador28,jogador29
Jogador_3b0d64b8-62ab-499a-b9c5-13d8baefbf50.h5_20,Jogador_d59f9ac2-196d-42fc-a857-a82c2f886fb1.h5_18,Jogador_d0737836-37ff-43aa-8d59-8379a52940e3.h5_10,Jogador_db637e17-123d-4982-be13-ff4df3a3b4fb.h5_6,Jogador_d8f0a855-111f-4986-aea0-74ccef1439fe.h5_5,Jogador_2eafa561-e089-47c6-bf17-bcc62668e009.h5_5,Jogador_39d27902-9146-42e9-a51a-fef4f08ad893.h5_-5,Jogador_8a9ea068-825b-4afd-9517-16b2e127cc5f.h5_-7,Jogador_a8f0a2fb-0420-49e0-b1b0-f8c53cf2d1dd.h5_-8,Jogador_8814eb1d-7369-4e6e-8657-adbbf0b3e70b.h5_-9,Jogador_69c1123f-9f81-4c09-9e39-9f82651c8451.h5_-10,Jogador_6c604f80-73ea-484b-9190-eb0bcd0356a3.h5_-15,Jogador_f24fe79e-1a7a-4870-823a-a8c8ca300708.h5_-17,Jogador_f193fe11-f2fe-4cfa-9793-6234aa12ee27.h5_-17,Jogador_f8fc66d6-2d09-430c-bb94-8b9922f6f8a9.h5_-19,Jogador_7fe783c7-33e6-46fe-9d99-9463fcf44db6.h5_-20,Jogador_0d73fb0d-a4f1-4816-9693-cfd4bb9556bd.h5_-20,Jogador_5129c2c8-d3f3-45fe-ae52-1e4f29444799.h5_-20,Jogador_c4460cf1-f6ab-40bd-a516-8b3f39eba47b.h5_-22,Jogador_ba97c4ad-9d10-4186-b260-dfd8f80f627a.h5_-24,Jogador_5e218d28-9d73-4fd2-b697-c10759ebdd13.h5_-24,Jogador_f054476e-6546-414b-a10c-a38d42172f54.h5_-26,Jogador_c9694c41-24de-48e7-af44-a7feb3a85888.h5_-29,Jogador_4fedaf83-cbed-40fd-b742-1634cbf6afd6.h5_-31,Jogador_38063e95-a125-4b85-b377-30642c2b88dd.h5_-34,Jogador_68cbadcd-74e7-438d-a8d5-eb0df1ec8ec2.h5_-36,Jogador_86c556c6-2f19-4e51-9547-fd6afebcea04.h5_-40,Jogador_9ba9b2e8-33be-4a44-982d-4809324e3d75.h5_-41,Jogador_bf59476e-5920-4112-ab87-332caa267b01.h5_-46,Jogador_4682f61e-f39f-44f3-b052-7fa2a5476790.h5_-71
Jogador_d59f9ac2-196d-42fc-a857-a82c2f886fb1.h5_23,Jogador_3b0d64b8-62ab-499a-b9c5-13d8baefbf50.h5_17,Jogador_d0737836-37ff-43aa-8d59-8379a52940e3.h5_1,Jogador_8814eb1d-7369-4e6e-8657-adbbf0b3e70b.h5_1,Jogador_998a03ce-9fd9-430d-9333-2c472b0372e7.h5_0,Jogador_d8f0a855-111f-4986-aea0-74ccef1439fe.h5_-1,Jogador_34546756-74e4-404b-ab43-ff08f5e34fff.h5_-4,Jogador_cedab517-8f27-4a50-9235-b1ce3a59eae7.h5_-9,Jogador_db637e17-123d-4982-be13-ff4df3a3b4fb.h5_-11,Jogador_2462db9b-7c69-42e6-b5ed-71e8ec7e8ec1.h5_-12,Jogador_0d5941a9-cada-437b-86ec-b258f6533193.h5_-12,Jogador_2eafa561-e089-47c6-bf17-bcc62668e009.h5_-13,Jogador_8a9ea068-825b-4afd-9517-16b2e127cc5f.h5_-15,Jogador_30125525-2dc5-4109-8fcd-d3af9faa5dfa.h5_-18,Jogador_3bba3b84-8b9e-4c4a-bf28-0b2fd4acf9cb.h5_-19,Jogador_fafcb3c6-bfb4-4924-893d-0fba7d950ccc.h5_-15,Jogador_a8f0a2fb-0420-49e0-b1b0-f8c53cf2d1dd.h5_-15,Jogador_009b4723-a40b-4176-9259-86d78232967d.h5_-18,Jogador_f24fe79e-1a7a-4870-823a-a8c8ca300708.h5_-22,Jogador_f8fc66d6-2d09-430c-bb94-8b9922f6f8a9.h5_-23,Jogador_69c1123f-9f81-4c09-9e39-9f82651c8451.h5_-24,Jogador_0ada48a1-c764-4f42-a1f0-9d232ac9d9b1.h5_-26,Jogador_39d27902-9146-42e9-a51a-fef4f08ad893.h5_-27,Jogador_5c4892e7-9d9c-498f-85ab-d1093cd25731.h5_-35,Jogador_4526ddfa-4347-409d-b6ff-395cfc531f86.h5_-35,Jogador_f193fe11-f2fe-4cfa-9793-6234aa12ee27.h5_-36,Jogador_6c604f80-73ea-484b-9190-eb0bcd0356a3.h5_-41,Jogador_6e322def-44bd-4c21-83b1-43d45ca26128.h5_-42,Jogador_ebf6b919-a6d2-46d3-bd78-fee7205deb93.h5_-44,Jogador_33db6c65-0ba7-4c75-9428-d460da08b042.h5_-45
Jogador_d59f9ac2-196d-42fc-a857-a82c2f886fb1.h5_27,Jogador_3b0d64b8-62ab-499a-b9c5-13d8baefbf50.h5_15,Jogador_d0737836-37ff-43aa-8d59-8379a52940e3.h5_9,Jogador_8814eb1d-7369-4e6e-8657-adbbf0b3e70b.h5_0,Jogador_998a03ce-9fd9-430d-9333-2c472b0372e7.h5_-1,Jogador_d8f0a855-111f-4986-aea0-74ccef1439fe.h5_-1,Jogador_2eafa561-e089-47c6-bf17-bcc62668e009.h5_-4,Jogador_10a5360b-9fb7-4963-bf3f-a28175b08d9a.h5_-6,Jogador_34546756-74e4-404b-ab43-ff08f5e34fff.h5_-6,Jogador_cedab517-8f27-4a50-9235-b1ce3a59eae7.h5_-12,Jogador_db637e17-123d-4982-be13-ff4df3a3b4fb.h5_-14,Jogador_37b9ecf3-0a54-4f23-801e-468de8b7ce0a.h5_-15,Jogador_1ae5bce5-878d-4622-b6f8-6a8554fdbc23.h5_-15,Jogador_d445a70e-7f1f-4d8d-993b-b2adabc5775f.h5_-16,Jogador_9979d75b-24ac-4589-b5c8-f746c350f9ba.h5_-18,Jogador_c06f199a-c0ca-469e-9d0c-ada9878647a0.h5_-10,Jogador_2462db9b-7c69-42e6-b5ed-71e8ec7e8ec1.h5_-17,Jogador_9cfed8b4-88f4-4572-94fd-011889694c56.h5_-20,Jogador_858270d0-b08d-4c0c-b0a6-1f5c7086695a.h5_-20,Jogador_0d5941a9-cada-437b-86ec-b258f6533193.h5_-22,Jogador_3bba3b84-8b9e-4c4a-bf28-0b2fd4acf9cb.h5_-22,Jogador_42cd6143-1e73-4d6d-be0e-765e3a8fff9d.h5_-26,Jogador_68d2ff67-b4bc-4663-9e32-ef323cab3a46.h5_-34,Jogador_30125525-2dc5-4109-8fcd-d3af9faa5dfa.h5_-34,Jogador_8a9ea068-825b-4afd-9517-16b2e127cc5f.h5_-36,Jogador_735147c0-e6d9-4bdd-846a-089d90d95d5c.h5_-39,Jogador_4334516e-6034-46ce-99ec-b18709723d04.h5_-43,Jogador_51718abf-e289-4934-b19d-8027f97edc1a.h5_-45,Jogador_abb8e2f2-71a0-4975-8b9b-1f11740999fe.h5_-51,Jogador_1013a047-d47b-4b84-93f5-8a576e1819fd.h5_-53
Jogador_d59f9ac2-196d-42fc-a857-a82c2f886fb1.h5_22,Jogador_3b0d64b8-62ab-499a-b9c5-13d8baefbf50.h5_6,Jogador_d8f0a855-111f-4986-aea0-74ccef1439fe.h5_0,Jogador_d0737836-37ff-43aa-8d59-8379a52940e3.h5_0,Jogador_0f1bbe9a-4529-4438-a9b5-b54bd17dbc60.h5_-6,Jogador_1ae5bce5-878d-4622-b6f8-6a8554fdbc23.h5_-7,Jogador_998a03ce-9fd9-430d-9333-2c472b0372e7.h5_-8,Jogador_8814eb1d-7369-4e6e-8657-adbbf0b3e70b.h5_-9,Jogador_6018f98a-52c6-45d7-a89e-2f22c7c3dd96.h5_-10,Jogador_cedab517-8f27-4a50-9235-b1ce3a59eae7.h5_-11,Jogador_d57b68a9-746c-4df8-a2a6-51a783a4d2f9.h5_-14,Jogador_73e4a01a-ec62-4ed8-a2d9-bc1aae28c94c.h5_-15,Jogador_2eafa561-e089-47c6-bf17-bcc62668e009.h5_-15,Jogador_1603b86a-c35b-4fd5-ad4e-cd1d8d3c64b9.h5_-15,Jogador_4bc26ba2-86be-4a40-bd2c-93ed4ee32dc4.h5_-15,Jogador_e0e8f280-4f66-4c0d-a2db-412c9f9dadde.h5_-12,Jogador_7801e174-0f1f-40a0-966f-4aa7abd548d7.h5_-16,Jogador_d445a70e-7f1f-4d8d-993b-b2adabc5775f.h5_-17,Jogador_db637e17-123d-4982-be13-ff4df3a3b4fb.h5_-21,Jogador_34546756-74e4-404b-ab43-ff08f5e34fff.h5_-23,Jogador_45feb634-b0eb-4a75-90f9-1ec6cb69457f.h5_-25,Jogador_37b9ecf3-0a54-4f23-801e-468de8b7ce0a.h5_-26,Jogador_6cb287e0-0e82-410d-8416-80687a2d1b0e.h5_-27,Jogador_9979d75b-24ac-4589-b5c8-f746c350f9ba.h5_-27,Jogador_10a5360b-9fb7-4963-bf3f-a28175b08d9a.h5_-28,Jogador_78ce388e-9481-4fce-af10-a384ef313e7f.h5_-35,Jogador_9837d853-7be4-4ebc-bc1c-9e2d20254418.h5_-36,Jogador_86b9f910-3312-4782-a12e-e1bc61d748e6.h5_-41,Jogador_ed14f7f7-cabd-4e76-8d1b-27298d7d6947.h5_-43,Jogador_80244043-c98a-4ec9-bc68-a77b779a6b7c.h5_-45
Jogador_d59f9ac2-196d-42fc-a857-a82c2f886fb1.h5_10,Jogador_998a03ce-9fd9-430d-9333-2c472b0372e7.h5_4,Jogador_3b0d64b8-62ab-499a-b9c5-13d8baefbf50.h5_3,Jogador_d0737836-37ff-43aa-8d59-8379a52940e3.h5_3,Jogador_1c968150-ac35-4adb-8a3c-a4e9518c3132.h5_-3,Jogador_1ae5bce5-878d-4622-b6f8-6a8554fdbc23.h5_-3,Jogador_d8f0a855-111f-4986-aea0-74ccef1439fe.h5_-5,Jogador_0f1bbe9a-4529-4438-a9b5-b54bd17dbc60.h5_-5,Jogador_6018f98a-52c6-45d7-a89e-2f22c7c3dd96.h5_-6,Jogador_4dc173a6-f364-47bd-b83c-379502bee1df.h5_-9,Jogador_d57b68a9-746c-4df8-a2a6-51a783a4d2f9.h5_-12,Jogador_4bc26ba2-86be-4a40-bd2c-93ed4ee32dc4.h5_-13,Jogador_cedab517-8f27-4a50-9235-b1ce3a59eae7.h5_-14,Jogador_73e4a01a-ec62-4ed8-a2d9-bc1aae28c94c.h5_-17,Jogador_2eafa561-e089-47c6-bf17-bcc62668e009.h5_-17,Jogador_057bada5-6e28-451b-a818-7e43ae2812e6.h5_-6,Jogador_c0ede05e-a6f4-4723-8ff8-6758f05fcef1.h5_-10,Jogador_38e757b7-9a5b-4b58-869c-4ecffca24218.h5_-20,Jogador_97494705-9e63-4884-9605-976a6116a025.h5_-20,Jogador_8814eb1d-7369-4e6e-8657-adbbf0b3e70b.h5_-22,Jogador_1603b86a-c35b-4fd5-ad4e-cd1d8d3c64b9.h5_-22,Jogador_e3a89233-7180-45b8-b689-50e0462b3413.h5_-24,Jogador_1a3db67c-42f0-4e6c-9d71-62decc0e7206.h5_-27,Jogador_7ec13e1a-7f64-4feb-90e3-4c221c87fd59.h5_-38,Jogador_75b768b3-e3c4-4e25-a7b3-db7ceb31613f.h5_-38,Jogador_e811b0c1-8f19-4e21-a5ee-57ab46364cb4.h5_-38,Jogador_debd571a-6f8c-4498-a09c-0f3c04ca77e6.h5_-42,Jogador_9926e8b6-a556-49ec-b3a5-de501cd3e4a5.h5_-43,Jogador_a8498793-c81c-45e9-9f8d-ffb56b2661c3.h5_-49,Jogador_5e4f4cd3-91fc-4749-b983-e81a6b7e2644.h5_-51
Jogador_414c08e0-924f-4e17-9c57-5fccf0ce334b.h5_16,Jogador_d0737836-37ff-43aa-8d59-8379a52940e3.h5_10,Jogador_d8f0a855-111f-4986-aea0-74ccef1439fe.h5_6,Jogador_d59f9ac2-196d-42fc-a857-a82c2f886fb1.h5_3,Jogador_4dc173a6-f364-47bd-b83c-379502bee1df.h5_3,Jogador_3b0d64b8-62ab-499a-b9c5-13d8baefbf50.h5_-1,Jogador_6018f98a-52c6-45d7-a89e-2f22c7c3dd96.h5_-4,Jogador_dc14b76b-5a25-4129-94e5-6de60b2c2d3b.h5_-4,Jogador_cab826cd-7bd0-4f91-9960-00ace1d3bfea.h5_-5,Jogador_0f1bbe9a-4529-4438-a9b5-b54bd17dbc60.h5_-11,Jogador_998a03ce-9fd9-430d-9333-2c472b0372e7.h5_-13,Jogador_2eafa561-e089-47c6-bf17-bcc62668e009.h5_-14,Jogador_1ae5bce5-878d-4622-b6f8-6a8554fdbc23.h5_-14,Jogador_4a5b42d6-e280-4539-9774-9c9675051ef4.h5_-16,Jogador_d57b68a9-746c-4df8-a2a6-51a783a4d2f9.h5_-19,Jogador_84bf053f-52a0-4299-ac64-2c69713cda39.h5_-12,Jogador_40814407-51d2-4f60-a989-154637b325d1.h5_-20,Jogador_1c968150-ac35-4adb-8a3c-a4e9518c3132.h5_-20,Jogador_1bca6658-c159-47dc-bb5a-fa274fed77bf.h5_-22,Jogador_392f84c5-3186-4d01-acd1-ba3fe9e6aa9d.h5_-23,Jogador_4bc26ba2-86be-4a40-bd2c-93ed4ee32dc4.h5_-24,Jogador_73e4a01a-ec62-4ed8-a2d9-bc1aae28c94c.h5_-25,Jogador_cedab517-8f27-4a50-9235-b1ce3a59eae7.h5_-25,Jogador_df9e3b68-c1fa-41f4-8463-c1b53b625de7.h5_-34,Jogador_bae6fbe6-2ecb-459c-b86f-5ac0ab670c6c.h5_-35,Jogador_35a38cdb-0c1f-47b5-8a9c-8de815093635.h5_-36,Jogador_7defe0a1-0708-431f-a56d-a45848526f96.h5_-40,Jogador_140cc837-945a-49da-ad0e-6e1e75b280c4.h5_-51,Jogador_ac15a7b9-ecec-4e81-bbe9-242fb6b01755.h5_-54,Jogador_8d65d8dc-5aa4-41b1-bc8d-1db06d29c43a.h5_-63
Jogador_414c08e0-924f-4e17-9c57-5fccf0ce334b.h5_15,Jogador_eb391915-47f3-4e2e-9fe6-aa5aefcb6266.h5_6,Jogador_d59f9ac2-196d-42fc-a857-a82c2f886fb1.h5_5,Jogador_d8f0a855-111f-4986-aea0-74ccef1439fe.h5_-1,Jogador_3b0d64b8-62ab-499a-b9c5-13d8baefbf50.h5_-1,Jogador_4dc173a6-f364-47bd-b83c-379502bee1df.h5_-3,Jogador_dc14b76b-5a25-4129-94e5-6de60b2c2d3b.h5_-4,Jogador_8471499b-76e1-446c-bb0f-ece3bff615a7.h5_-4,Jogador_0f1bbe9a-4529-4438-a9b5-b54bd17dbc60.h5_-5,Jogador_522f1745-62f2-4ac6-87ea-8b32fe215540.h5_-7,Jogador_d0737836-37ff-43aa-8d59-8379a52940e3.h5_-8,Jogador_3e46d838-a2bb-44cf-9b8b-874a0953cdc5.h5_-14,Jogador_cab826cd-7bd0-4f91-9960-00ace1d3bfea.h5_-17,Jogador_2eafa561-e089-47c6-bf17-bcc62668e009.h5_-20,Jogador_1ae5bce5-878d-4622-b6f8-6a8554fdbc23.h5_-20,Jogador_6018f98a-52c6-45d7-a89e-2f22c7c3dd96.h5_-7,Jogador_e02b0f3f-40eb-4056-8fab-c460b190dac3.h5_-13,Jogador_998a03ce-9fd9-430d-9333-2c472b0372e7.h5_-16,Jogador_b7f58afc-c967-4182-b263-4086eb1dd222.h5_-20,Jogador_6e68c9e7-9b15-4175-8581-8e1322fb7825.h5_-23,Jogador_d8bfea90-d106-4235-ac74-ce9ba5c73c28.h5_-25,Jogador_5dfe8b9e-d2ed-4fb7-8328-7f9d8e9ce606.h5_-25,Jogador_d57b68a9-746c-4df8-a2a6-51a783a4d2f9.h5_-25,Jogador_a1d37d8f-9ae3-43b9-bf31-ac6d2c5ce5c1.h5_-25,Jogador_1fd4d859-ee4d-45cd-96a7-b006c115423b.h5_-26,Jogador_4a5b42d6-e280-4539-9774-9c9675051ef4.h5_-29,Jogador_b082dc3f-2a98-4c67-ba52-817037c9a043.h5_-30,Jogador_395aadc3-c5ff-42c3-8358-c8a870841ae1.h5_-41,Jogador_65b4e6f5-d738-491c-a095-ba3451073aac.h5_-49,Jogador_ec8a50f0-8368-4141-991b-64754649442e.h5_-69
Jogador_d59f9ac2-196d-42fc-a857-a82c2f886fb1.h5_6,Jogador_414c08e0-924f-4e17-9c57-5fccf0ce334b.h5_5,Jogador_8471499b-76e1-446c-bb0f-ece3bff615a7.h5_5,Jogador_3b0d64b8-62ab-499a-b9c5-13d8baefbf50.h5_1,Jogador_d0737836-37ff-43aa-8d59-8379a52940e3.h5_0,Jogador_29d9dee4-4980-4305-81ea-6bb0ee93c74c.h5_-3,Jogador_4dc173a6-f364-47bd-b83c-379502bee1df.h5_-3,Jogador_cab826cd-7bd0-4f91-9960-00ace1d3bfea.h5_-8,Jogador_902db33e-58ae-448b-8f28-7a0ed5a85709.h5_-9,Jogador_d8f0a855-111f-4986-aea0-74ccef1439fe.h5_-10,Jogador_2eafa561-e089-47c6-bf17-bcc62668e009.h5_-10,Jogador_0f1bbe9a-4529-4438-a9b5-b54bd17dbc60.h5_-10,Jogador_dc14b76b-5a25-4129-94e5-6de60b2c2d3b.h5_-12,Jogador_00c4c5e5-dd90-4fc3-a32e-dade20662659.h5_-14,Jogador_7e94ff88-1344-4a7c-bf55-a14314e7c894.h5_-21,Jogador_eb391915-47f3-4e2e-9fe6-aa5aefcb6266.h5_-11,Jogador_522f1745-62f2-4ac6-87ea-8b32fe215540.h5_-16,Jogador_137f25d9-d87d-46f0-b8b2-6cc8603b53bb.h5_-17,Jogador_3e46d838-a2bb-44cf-9b8b-874a0953cdc5.h5_-22,Jogador_42f4119d-23f0-4045-a198-7925fd359b46.h5_-22,Jogador_d47d7faf-7f4f-43c8-a2bf-fc3a7d2b2f41.h5_-24,Jogador_f0f971fb-9998-4f09-b32e-b451483fcb4e.h5_-25,Jogador_b4aeca81-135d-4639-badb-5fd40d95f66b.h5_-27,Jogador_8834cbe0-b766-45b8-82da-fca5154d97ff.h5_-29,Jogador_01b04c6f-ccbb-49f5-9ebb-32b4feca4941.h5_-31,Jogador_f93a9cd9-4731-4254-bdf2-a1df51b43666.h5_-32,Jogador_1ae5bce5-878d-4622-b6f8-6a8554fdbc23.h5_-32,Jogador_dfa1f3df-22eb-4448-899c-0ef34ef33a90.h5_-38,Jogador_d976233b-21ad-4f12-ab38-fdc7716206b3.h5_-38,Jogador_8382e049-ffc6-4c31-9b09-dbe3d5bb17ce.h5_-50
Jogador_d0737836-37ff-43aa-8d59-8379a52940e3.h5_7,Jogador_d59f9ac2-196d-42fc-a857-a82c2f886fb1.h5_5,Jogador_414c08e0-924f-4e17-9c57-5fccf0ce334b.h5_4,Jogador_2eafa561-e089-47c6-bf17-bcc62668e009.h5_2,Jogador_29d9dee4-4980-4305-81ea-6bb0ee93c74c.h5_1,Jogador_8471499b-76e1-446c-bb0f-ece3bff615a7.h5_0,Jogador_dc14b76b-5a25-4129-94e5-6de60b2c2d3b.h5_-1,Jogador_3b0d64b8-62ab-499a-b9c5-13d8baefbf50.h5_-2,Jogador_4dc173a6-f364-47bd-b83c-379502bee1df.h5_-3,Jogador_00c4c5e5-dd90-4fc3-a32e-dade20662659.h5_-3,Jogador_cab826cd-7bd0-4f91-9960-00ace1d3bfea.h5_-6,Jogador_0f1bbe9a-4529-4438-a9b5-b54bd17dbc60.h5_-6,Jogador_d8f0a855-111f-4986-aea0-74ccef1439fe.h5_-12,Jogador_7eb41030-c2ce-4199-a7dd-44d8b4ac22dc.h5_-12,Jogador_93eaa9ac-7081-4e9f-bef4-d99fc0352550.h5_-13,Jogador_2d5e824f-e67e-4de0-9fa0-1d9622494bd0.h5_-14,Jogador_54a0081d-607a-4772-b205-cf3eba48da7d.h5_-20,Jogador_7e94ff88-1344-4a7c-bf55-a14314e7c894.h5_-20,Jogador_6c0a5b80-e9a1-409b-a467-df760e2bae1a.h5_-22,Jogador_902db33e-58ae-448b-8f28-7a0ed5a85709.h5_-23,Jogador_0d3a216c-d60a-47b3-92af-d9e99e06904a.h5_-23,Jogador_2b52a42b-da10-436b-85c4-191420b1388b.h5_-23,Jogador_59927836-76ac-4922-b3b7-71884dbc20c2.h5_-28,Jogador_669052d0-7fbb-4f65-b846-3769c5b3de78.h5_-30,Jogador_e409007c-5510-4a47-9a52-009965cf8d5b.h5_-31,Jogador_94ac6ad6-6739-4697-9c84-681877b6c98b.h5_-36,Jogador_ad9af653-6edb-4786-8784-854721ec21a7.h5_-40,Jogador_61cc77da-8340-46b5-b37a-05b449ce8d04.h5_-41,Jogador_fcd37c82-193f-4ba6-910e-f35c4cd111f6.h5_-42,Jogador_8e1db4b7-bcb2-44ce-9df7-b15711c82425.h5_-44
Jogador_d59f9ac2-196d-42fc-a857-a82c2f886fb1.h5_8,Jogador_414c08e0-924f-4e17-9c57-5fccf0ce334b.h5_6,Jogador_9ac1f7bc-0c1d-4501-80ae-3d4eaed0b7f1.h5_1,Jogador_2eafa561-e089-47c6-bf17-bcc62668e009.h5_-1,Jogador_3b0d64b8-62ab-499a-b9c5-13d8baefbf50.h5_-2,Jogador_8471499b-76e1-446c-bb0f-ece3bff615a7.h5_-3,Jogador_d0737836-37ff-43aa-8d59-8379a52940e3.h5_-5,Jogador_00c4c5e5-dd90-4fc3-a32e-dade20662659.h5_-5,Jogador_1b0937ea-c0ef-43b5-9563-4e8594a6b1d5.h5_-6,Jogador_cab826cd-7bd0-4f91-9960-00ace1d3bfea.h5_-7,Jogador_4dc173a6-f364-47bd-b83c-379502bee1df.h5_-9,Jogador_29d9dee4-4980-4305-81ea-6bb0ee93c74c.h5_-11,Jogador_9da783b4-2c87-4f66-8764-ca4cd4c04718.h5_-12,Jogador_fe03eb33-2e60-4bb7-9e8d-13626a5fc359.h5_-13,Jogador_d8f0a855-111f-4986-aea0-74ccef1439fe.h5_-15,Jogador_1a85a926-0295-4667-9e67-a3820670bf3e.h5_-15,Jogador_93eaa9ac-7081-4e9f-bef4-d99fc0352550.h5_-17,Jogador_7eb41030-c2ce-4199-a7dd-44d8b4ac22dc.h5_-20,Jogador_dc14b76b-5a25-4129-94e5-6de60b2c2d3b.h5_-22,Jogador_0f1bbe9a-4529-4438-a9b5-b54bd17dbc60.h5_-22,Jogador_580ffcc8-a633-4e83-a750-8d2f5e1f372a.h5_-22,Jogador_273d2455-399a-440b-8807-b9e3f870c650.h5_-27,Jogador_8a9e2433-829a-4528-8093-0ebf5cd4324c.h5_-28,Jogador_e73db07f-b5bd-4440-9e9b-8af771dad8af.h5_-28,Jogador_a7557d76-0770-451f-85fe-9087729a087e.h5_-29,Jogador_9f4db1ef-b086-4257-bb6b-5c3f97d2c9cb.h5_-29,Jogador_3d2bd5f7-8331-4374-88f2-b715643496c1.h5_-32,Jogador_1c0687a0-b307-4204-b290-38b240d36409.h5_-40,Jogador_50eb01b9-4c40-448a-82dd-21a9f963dd61.h5_-45,Jogador_7013892b-677b-4c02-8628-f38d8ad6fcf6.h5_-59
