jogador1,jogador2,jogador3,jogador4,jogador5,jogador6,jogador7,jogador8,jogador9,jogador10,jogador11,jogador12,jogador13,jogador14,jogador15,jogador16,jogador17,jogador18,jogador19,jogador20,jogador21,jogador22,jogador23,jogador24,jogador25,jogador26,jogador27,jogador28,jogador29
Jogador_82736542-ab68-45d8-b7f4-8d6fb1c1f1e8.h5_16,Jogador_02c1729d-f838-4682-83cc-57ae167a3362.h5_15,Jogador_7ee0d0dd-fd5d-48e4-bf19-e8b414cf8610.h5_9,Jogador_560873e8-a958-4613-9f64-c92028f61057.h5_5,Jogador_233ee728-e67e-4531-91f1-5d2cba8b704f.h5_-1,Jogador_8d410f54-e026-4099-a092-9309ca6f7334.h5_-2,Jogador_80ca9193-f268-4d1c-932b-ad00fc846b75.h5_-2,Jogador_a6d21701-9e49-474f-aa12-a6b2b7c8d13c.h5_-5,Jogador_84f70326-1ce0-4aad-a9e6-e99babf7966c.h5_-6,Jogador_9d4cff83-a06a-4002-a6a5-97432935de5f.h5_-6,Jogador_19a85365-c1a3-4594-bd11-320f7cbeaadd.h5_-7,Jogador_adf299ae-42ea-4fef-9abf-890c949a525d.h5_-10,Jogador_eb24ac5c-02a8-4272-a579-ac5ca76e361c.h5_-11,Jogador_7ce23b12-b8ed-418a-addb-1b832c763aba.h5_-14,Jogador_896fdf39-2609-4fb8-af4f-530ef50184cb.h5_-17,Jogador_5b00381a-e69a-4c69-b7fc-d49791d7e734.h5_-18,Jogador_a5dd3c81-ce6e-49da-b327-4db75c780b53.h5_-20,Jogador_fc3fa557-7bf3-42aa-bea3-9059a54a056f.h5_-22,Jogador_ca9da1c1-4a6e-4b5e-be21-f26519d3c59e.h5_-26,Jogador_6dcdb842-03c1-4ef4-8ca0-118093c33ce2.h5_-27,Jogador_1ece7d57-7b4c-4fb8-b4af-f490292a7197.h5_-27,Jogador_f008590d-3c50-488b-977d-d9bff436162c.h5_-29,Jogador_91f2bfa5-49c4-4728-9d18-6547bb04449b.h5_-31,Jogador_6cad399e-3939-404e-918e-18c727f7afa4.h5_-32,Jogador_5ea83c96-9ff6-4b36-97fb-8ba2966da246.h5_-34,Jogador_e2760de4-f5ab-4e48-9492-b5635bc3bd1f.h5_-34,Jogador_bba8a3c2-d7cd-4910-b987-2b5061e03ec0.h5_-35,Jogador_9b7b443a-f27e-4da2-a888-912e05e73f64.h5_-37,Jogador_99bf77c4-8b39-4be0-961b-e113f5e835d3.h5_-41,Jogador_574253e7-8ec0-48c7-a66b-2575e40d8d99.h5_-53
Jogador_c2b55b9f-0cf3-444b-bdf4-6ee6a86c0692.h5_24,Jogador_c0ad0a15-ba5d-48a6-979f-101fdaf158c1.h5_16,Jogador_02c1729d-f838-4682-83cc-57ae167a3362.h5_15,Jogador_12cec034-bd21-4d2b-b5b8-d1d2530a10c7.h5_12,Jogador_0aa7f5b5-b7bb-4905-93e3-3ff7389cc24f.h5_6,Jogador_88d8e7fa-40b3-4d25-9e94-1f1827cc5fdc.h5_0,Jogador_f2c5ff02-ff94-43f5-8499-e39b7b21f8a0.h5_-2,Jogador_82736542-ab68-45d8-b7f4-8d6fb1c1f1e8.h5_-3,Jogador_560873e8-a958-4613-9f64-c92028f61057.h5_-5,Jogador_9d4cff83-a06a-4002-a6a5-97432935de5f.h5_-9,Jogador_896fdf39-2609-4fb8-af4f-530ef50184cb.h5_-10,Jogador_233ee728-e67e-4531-91f1-5d2cba8b704f.h5_-11,Jogador_eb24ac5c-02a8-4272-a579-ac5ca76e361c.h5_-12,Jogador_19a85365-c1a3-4594-bd11-320f7cbeaadd.h5_-17,Jogador_c9540890-dbdb-43b1-86ae-1c7904d07776.h5_-19,Jogador_8d410f54-e026-4099-a092-9309ca6f7334.h5_-14,Jogador_fbbfa817-850d-41f0-8644-5c7f11aa2004.h5_-19,Jogador_9cc2ff14-b3a7-44d9-bd48-7eff4df4a15f.h5_-22,Jogador_7ee0d0dd-fd5d-48e4-bf19-e8b414cf8610.h5_-22,Jogador_a6d21701-9e49-474f-aa12-a6b2b7c8d13c.h5_-25,Jogador_adf299ae-42ea-4fef-9abf-890c949a525d.h5_-25,Jogador_80ca9193-f268-4d1c-932b-ad00fc846b75.h5_-26,Jogador_bc111b33-6e92-488f-bbe5-8e0e71cbf47a.h5_-34,Jogador_2ef7a3fd-9d43-421a-82f4-5ca3e10a051a.h5_-35,Jogador_e1f2e9ce-fa89-43fd-8385-a31027911157.h5_-36,Jogador_84f70326-1ce0-4aad-a9e6-e99babf7966c.h5_-43,Jogador_4d163adf-e528-4ea0-8cf0-bea9904b66b3.h5_-43,Jogador_7ce23b12-b8ed-418a-addb-1b832c763aba.h5_-44,Jogador_4b51aff8-e211-45e0-a761-3d1406d86e2f.h5_-45,Jogador_12ec6d92-b9a2-4183-bddf-14fa66777558.h5_-59
Jogador_c2b55b9f-0cf3-444b-bdf4-6ee6a86c0692.h5_19,Jogador_c0ad0a15-ba5d-48a6-979f-101fdaf158c1.h5_5,Jogador_02c1729d-f838-4682-83cc-57ae167a3362.h5_0,Jogador_eb24ac5c-02a8-4272-a579-ac5ca76e361c.h5_-1,Jogador_12cec034-bd21-4d2b-b5b8-d1d2530a10c7.h5_-2,Jogador_82736542-ab68-45d8-b7f4-8d6fb1c1f1e8.h5_-6,Jogador_a8254d12-94c3-4c45-b85e-59479e45a0fa.h5_-7,Jogador_b6a394e4-e297-4dc4-848f-c90bf022ffab.h5_-9,Jogador_f2c5ff02-ff94-43f5-8499-e39b7b21f8a0.h5_-9,Jogador_ce319978-940e-49b7-85c0-5f804d003d67.h5_-9,Jogador_b7854af6-83d0-4340-897d-322d6cad3f91.h5_-10,Jogador_b446f779-e0ad-4fc2-8144-d2562b9b084b.h5_-10,Jogador_560873e8-a958-4613-9f64-c92028f61057.h5_-17,Jogador_8f74e35d-0abe-488d-a6f7-a94e2b5c737e.h5_-17,Jogador_88d8e7fa-40b3-4d25-9e94-1f1827cc5fdc.h5_-20,Jogador_9d4cff83-a06a-4002-a6a5-97432935de5f.h5_-10,Jogador_807e5dc2-8f9b-449e-addf-6c29caf1969e.h5_-12,Jogador_8319f3c8-13b6-4cd5-aed3-72d5a18d7f4a.h5_-13,Jogador_0aa7f5b5-b7bb-4905-93e3-3ff7389cc24f.h5_-14,Jogador_896fdf39-2609-4fb8-af4f-530ef50184cb.h5_-15,Jogador_ae07884c-d927-4c38-82ae-5b47ca7ef15f.h5_-21,Jogador_2ec5d897-c5e4-4fd4-974c-86018c6588a6.h5_-25,Jogador_a3ed9832-6bd7-46e4-936f-28b6f9db1a31.h5_-28,Jogador_c4fa377a-1642-4890-b5fd-9fc3f42a123e.h5_-29,Jogador_19a85365-c1a3-4594-bd11-320f7cbeaadd.h5_-31,Jogador_233ee728-e67e-4531-91f1-5d2cba8b704f.h5_-33,Jogador_28bcd086-58f4-4c58-9e34-f32dd5ba6fae.h5_-39,Jogador_c9540890-dbdb-43b1-86ae-1c7904d07776.h5_-40,Jogador_1e2842c2-fa04-4866-8061-732ef8504272.h5_-44,Jogador_52c434ea-efc2-40de-898d-1a2ec6c24886.h5_-56
Jogador_e5600cf0-2ceb-4d8a-ac9d-928c4f166d14.h5_12,Jogador_02c1729d-f838-4682-83cc-57ae167a3362.h5_9,Jogador_c2b55b9f-0cf3-444b-bdf4-6ee6a86c0692.h5_7,Jogador_5a4f9e1f-971f-42c8-a952-fd1528d41d11.h5_2,Jogador_e29dacab-b63e-474b-b03e-4f834b258899.h5_0,Jogador_bffaa1d5-1cb6-4e83-b4c2-f89f2ac3ae9b.h5_0,Jogador_c0ad0a15-ba5d-48a6-979f-101fdaf158c1.h5_-2,Jogador_b6a394e4-e297-4dc4-848f-c90bf022ffab.h5_-6,Jogador_eb24ac5c-02a8-4272-a579-ac5ca76e361c.h5_-6,Jogador_8f74e35d-0abe-488d-a6f7-a94e2b5c737e.h5_-14,Jogador_21444532-d8e6-4d90-be31-9368ea6d4646.h5_-14,Jogador_f2c5ff02-ff94-43f5-8499-e39b7b21f8a0.h5_-16,Jogador_bf4cacf4-fa3d-431c-810f-8e8e2b8e5850.h5_-19,Jogador_ce319978-940e-49b7-85c0-5f804d003d67.h5_-19,Jogador_560873e8-a958-4613-9f64-c92028f61057.h5_-20,Jogador_12cec034-bd21-4d2b-b5b8-d1d2530a10c7.h5_-1,Jogador_a8254d12-94c3-4c45-b85e-59479e45a0fa.h5_-6,Jogador_3ed9c9f3-f4d8-4bb6-8e40-46425ba494e4.h5_-19,Jogador_b7854af6-83d0-4340-897d-322d6cad3f91.h5_-19,Jogador_697c584b-11f2-4003-9550-be3d8b09f121.h5_-19,Jogador_82736542-ab68-45d8-b7f4-8d6fb1c1f1e8.h5_-19,Jogador_abbd14d0-9aed-45f8-85fa-e6e2b36f607b.h5_-26,Jogador_88d8e7fa-40b3-4d25-9e94-1f1827cc5fdc.h5_-28,Jogador_b446f779-e0ad-4fc2-8144-d2562b9b084b.h5_-29,Jogador_a1b0ee8e-f22b-428d-92f0-421ecb8c6c3d.h5_-30,Jogador_ce8ea345-12a2-4c9a-9318-1750e4097828.h5_-31,Jogador_77f40435-511d-4455-b6f6-9b9ea03fa912.h5_-32,Jogador_7a3d1415-814f-4841-a247-e463d1a6f47a.h5_-40,Jogador_36fe6dc2-9405-4c5b-bed1-ad0ce75f0fbb.h5_-42,Jogador_b3c7e5d3-e8c0-4988-8bbb-a04c3b022de8.h5_-44
Jogador_9943c528-65e4-4add-9771-831112883aa7.h5_22,Jogador_e5600cf0-2ceb-4d8a-ac9d-928c4f166d14.h5_20,Jogador_e29dacab-b63e-474b-b03e-4f834b258899.h5_3,Jogador_bffaa1d5-1cb6-4e83-b4c2-f89f2ac3ae9b.h5_3,Jogador_da07ef05-9371-40e4-986d-25601b5dda34.h5_-1,Jogador_28c00f4c-e9ac-427c-8103-70d252a43c0b.h5_-3,Jogador_eb24ac5c-02a8-4272-a579-ac5ca76e361c.h5_-9,Jogador_f2c5ff02-ff94-43f5-8499-e39b7b21f8a0.h5_-10,Jogador_4803a05b-8dfb-4632-90de-831e31544d79.h5_-10,Jogador_b6a394e4-e297-4dc4-848f-c90bf022ffab.h5_-18,Jogador_bf4cacf4-fa3d-431c-810f-8e8e2b8e5850.h5_-18,Jogador_5a4f9e1f-971f-42c8-a952-fd1528d41d11.h5_-21,Jogador_eadaa521-28c0-4566-9b2e-d0af92f7efcd.h5_-22,Jogador_8f74e35d-0abe-488d-a6f7-a94e2b5c737e.h5_-22,Jogador_560873e8-a958-4613-9f64-c92028f61057.h5_-23,Jogador_02c1729d-f838-4682-83cc-57ae167a3362.h5_-1,Jogador_c2b55b9f-0cf3-444b-bdf4-6ee6a86c0692.h5_-2,Jogador_f08e34e4-40c6-40c7-9286-6ea52e93ddff.h5_-4,Jogador_c0ad0a15-ba5d-48a6-979f-101fdaf158c1.h5_-5,Jogador_37e4738c-38c5-4c52-af06-8f99563026a2.h5_-17,Jogador_cf72df62-46cf-4171-8f1d-d4aed79349b7.h5_-21,Jogador_dfc5f0ce-9b9a-4a78-a7a2-34afc9fe247f.h5_-22,Jogador_f677d91d-5fc9-4c1f-9263-99526db8cfee.h5_-25,Jogador_9556b7f7-9a40-4dc1-9ed5-46c2e12084b3.h5_-26,Jogador_39ed7c3d-9408-42e2-a247-c8d5212ecb43.h5_-27,Jogador_21444532-d8e6-4d90-be31-9368ea6d4646.h5_-27,Jogador_ce319978-940e-49b7-85c0-5f804d003d67.h5_-28,Jogador_0cdb34e9-67a8-4b72-804e-0cfd661305a6.h5_-35,Jogador_94e17536-92a7-4244-9222-177fb689e1ca.h5_-46,Jogador_d691769c-5b03-4e20-8b0b-f4e38929a30d.h5_-55
Jogador_7042e35e-c9f6-4e4a-9860-a09567fb502c.h5_11,Jogador_e5600cf0-2ceb-4d8a-ac9d-928c4f166d14.h5_9,Jogador_28c00f4c-e9ac-427c-8103-70d252a43c0b.h5_7,Jogador_df658420-a0bd-43e0-8aff-804c519949e4.h5_4,Jogador_4803a05b-8dfb-4632-90de-831e31544d79.h5_-2,Jogador_8c907d20-40a2-467a-9c00-409fe0f1a6c9.h5_-5,Jogador_25f52daf-ff66-46e1-ac5c-6b5327df46ac.h5_-5,Jogador_4926f1c7-75dd-4040-926c-0da246ef1121.h5_-8,Jogador_bf4cacf4-fa3d-431c-810f-8e8e2b8e5850.h5_-9,Jogador_da07ef05-9371-40e4-986d-25601b5dda34.h5_-10,Jogador_27f34412-bc08-4e78-8bde-060e0ba121f9.h5_-14,Jogador_eb24ac5c-02a8-4272-a579-ac5ca76e361c.h5_-17,Jogador_5a4f9e1f-971f-42c8-a952-fd1528d41d11.h5_-17,Jogador_560873e8-a958-4613-9f64-c92028f61057.h5_-18,Jogador_8f74e35d-0abe-488d-a6f7-a94e2b5c737e.h5_-20,Jogador_077b3de0-b442-4ae5-954c-159d63898290.h5_5,Jogador_9943c528-65e4-4add-9771-831112883aa7.h5_1,Jogador_e29dacab-b63e-474b-b03e-4f834b258899.h5_-10,Jogador_6a8c86bd-6ec2-4130-beba-c177435e85d9.h5_-13,Jogador_bffaa1d5-1cb6-4e83-b4c2-f89f2ac3ae9b.h5_-15,Jogador_0c73d874-8349-4f97-8c3f-a0c8a48d2c01.h5_-19,Jogador_b6a394e4-e297-4dc4-848f-c90bf022ffab.h5_-21,Jogador_f2c5ff02-ff94-43f5-8499-e39b7b21f8a0.h5_-22,Jogador_b239ae81-9ed5-4b8b-9083-10d7e8586348.h5_-26,Jogador_eadaa521-28c0-4566-9b2e-d0af92f7efcd.h5_-30,Jogador_67f7bb25-497d-4f7d-ad38-69c62c666c0d.h5_-35,Jogador_f3575e58-ea4a-4ae2-89d6-f39d3cb979ab.h5_-39,Jogador_e25addd8-bc45-4bad-bfac-1e8de774a5ff.h5_-40,Jogador_454e36f1-f311-4817-a8ec-7ea44460554a.h5_-44,Jogador_0cfbb73e-aa0e-461b-a66c-537de0e5bbc3.h5_-50
Jogador_c24fa810-0113-468f-8602-96009fc04958.h5_16,Jogador_7042e35e-c9f6-4e4a-9860-a09567fb502c.h5_8,Jogador_28c00f4c-e9ac-427c-8103-70d252a43c0b.h5_8,Jogador_e5600cf0-2ceb-4d8a-ac9d-928c4f166d14.h5_5,Jogador_4803a05b-8dfb-4632-90de-831e31544d79.h5_-1,Jogador_aade47d1-8c9b-4c5c-94d3-1abaf7bdd0f3.h5_-7,Jogador_76eb8e05-10f2-4ec4-9225-e643b07b261b.h5_-7,Jogador_bf4cacf4-fa3d-431c-810f-8e8e2b8e5850.h5_-8,Jogador_25f52daf-ff66-46e1-ac5c-6b5327df46ac.h5_-9,Jogador_ec696e73-cdf5-41bf-b5ee-0a598eb29ac0.h5_-10,Jogador_da07ef05-9371-40e4-986d-25601b5dda34.h5_-11,Jogador_2d64e8b6-47cd-4e75-8382-1ec9700beee4.h5_-18,Jogador_e053cd2f-5e81-451b-b420-d366f1aca3ed.h5_-18,Jogador_0e859c33-7e84-4bf4-8529-07406160215e.h5_-19,Jogador_eb24ac5c-02a8-4272-a579-ac5ca76e361c.h5_-22,Jogador_df658420-a0bd-43e0-8aff-804c519949e4.h5_1,Jogador_9247f5ec-3ee8-423f-845c-43a60fb2e726.h5_-9,Jogador_8c907d20-40a2-467a-9c00-409fe0f1a6c9.h5_-10,Jogador_b8540af9-c845-4cde-a6cc-1df564189e8e.h5_-12,Jogador_27f34412-bc08-4e78-8bde-060e0ba121f9.h5_-18,Jogador_730effac-eee4-4cd3-9d51-f5c8639ec5ce.h5_-20,Jogador_c40825cf-7f03-4da1-859b-38ec4797e495.h5_-24,Jogador_560873e8-a958-4613-9f64-c92028f61057.h5_-25,Jogador_5a4f9e1f-971f-42c8-a952-fd1528d41d11.h5_-26,Jogador_4926f1c7-75dd-4040-926c-0da246ef1121.h5_-27,Jogador_16be89bb-fd25-481b-b19d-f0e19ecc4faa.h5_-29,Jogador_8f74e35d-0abe-488d-a6f7-a94e2b5c737e.h5_-29,Jogador_a805eaa2-fa82-40b4-b2ff-9bc5203d5ab0.h5_-32,Jogador_dcc5aa9f-a2cf-4fc4-ba62-7c7eb479bcc6.h5_-32,Jogador_9eb3db62-cf84-4fe7-b87d-4290ba18745a.h5_-40
Jogador_c24fa810-0113-468f-8602-96009fc04958.h5_12,Jogador_3b1a7e79-6043-42c3-b20a-1fb1f8772f37.h5_9,Jogador_cecfd941-626c-48c4-b233-76df4038992c.h5_9,Jogador_7042e35e-c9f6-4e4a-9860-a09567fb502c.h5_1,Jogador_e5600cf0-2ceb-4d8a-ac9d-928c4f166d14.h5_-4,Jogador_0d87b6d2-4492-435c-83fa-a91fcef4610b.h5_-6,Jogador_99b4cf13-fd5f-42fe-a5fc-614ffe3b5b96.h5_-8,Jogador_aade47d1-8c9b-4c5c-94d3-1abaf7bdd0f3.h5_-11,Jogador_25f52daf-ff66-46e1-ac5c-6b5327df46ac.h5_-12,Jogador_0e859c33-7e84-4bf4-8529-07406160215e.h5_-15,Jogador_da07ef05-9371-40e4-986d-25601b5dda34.h5_-16,Jogador_4803a05b-8dfb-4632-90de-831e31544d79.h5_-17,Jogador_ec696e73-cdf5-41bf-b5ee-0a598eb29ac0.h5_-19,Jogador_76eb8e05-10f2-4ec4-9225-e643b07b261b.h5_-20,Jogador_27b7cddc-9824-4213-88b1-e58e14e7b5ae.h5_-22,Jogador_28c00f4c-e9ac-427c-8103-70d252a43c0b.h5_8,Jogador_1d675407-1ba4-410d-88b2-91e7af548db2.h5_-5,Jogador_0c85bb04-e507-4824-87a7-55407d10e7a2.h5_-6,Jogador_02b7a09c-55a7-46e5-991f-e1004c815d06.h5_-11,Jogador_480349ef-eed4-46c1-9309-81fd20585e8c.h5_-12,Jogador_bf4cacf4-fa3d-431c-810f-8e8e2b8e5850.h5_-12,Jogador_eb24ac5c-02a8-4272-a579-ac5ca76e361c.h5_-25,Jogador_1520ec34-0972-4afa-90f9-b0dcc7e721f9.h5_-25,Jogador_6424d394-7d3e-42fc-b444-01f70e934daa.h5_-26,Jogador_2d64e8b6-47cd-4e75-8382-1ec9700beee4.h5_-27,Jogador_8a7a3086-f8d8-4c87-a026-f4973f7a647b.h5_-27,Jogador_e053cd2f-5e81-451b-b420-d366f1aca3ed.h5_-28,Jogador_a8c6fa1a-8e9b-4000-b8cc-a46543d9ef17.h5_-33,Jogador_8b11ca08-2592-47ac-ac89-f9ed48cccdec.h5_-42,Jogador_8fa9c766-f77d-48f6-aacc-47d912a1b2ae.h5_-45
Jogador_7d6fe0b2-1376-4909-949b-571a9cba456b.h5_10,Jogador_c24fa810-0113-468f-8602-96009fc04958.h5_7,Jogador_78a5f2fe-43f3-497b-b52e-c5c3ed175a3b.h5_6,Jogador_e5600cf0-2ceb-4d8a-ac9d-928c4f166d14.h5_2,Jogador_7042e35e-c9f6-4e4a-9860-a09567fb502c.h5_0,Jogador_cecfd941-626c-48c4-b233-76df4038992c.h5_0,Jogador_4803a05b-8dfb-4632-90de-831e31544d79.h5_-6,Jogador_99b4cf13-fd5f-42fe-a5fc-614ffe3b5b96.h5_-8,Jogador_0d87b6d2-4492-435c-83fa-a91fcef4610b.h5_-10,Jogador_0e859c33-7e84-4bf4-8529-07406160215e.h5_-13,Jogador_aade47d1-8c9b-4c5c-94d3-1abaf7bdd0f3.h5_-15,Jogador_fa8bdcc5-3d74-412c-89a8-88253d9831cc.h5_-15,Jogador_18577243-d613-4ffe-871e-5aea06fc2ed3.h5_-17,Jogador_da07ef05-9371-40e4-986d-25601b5dda34.h5_-20,Jogador_ec696e73-cdf5-41bf-b5ee-0a598eb29ac0.h5_-21,Jogador_3b1a7e79-6043-42c3-b20a-1fb1f8772f37.h5_5,Jogador_f2a2eca0-132e-43a2-8a8e-d0b473ee87c6.h5_0,Jogador_432e613c-ec7b-4e53-af4e-43e3fe878119.h5_-10,Jogador_439eb5c4-beab-404c-b9fd-94be4308a1b1.h5_-20,Jogador_43913227-8a14-4ec0-9a12-9d242eae0552.h5_-20,Jogador_25f52daf-ff66-46e1-ac5c-6b5327df46ac.h5_-23,Jogador_410f0e87-9333-4a3a-96f8-19b02785d7cd.h5_-29,Jogador_b33831f2-ce94-4b99-b863-5631fa252c10.h5_-31,Jogador_27b7cddc-9824-4213-88b1-e58e14e7b5ae.h5_-32,Jogador_1b2d9ee3-9e11-4d11-bad3-71103b1bf7ba.h5_-32,Jogador_76eb8e05-10f2-4ec4-9225-e643b07b261b.h5_-33,Jogador_abd63377-9d86-4a97-9c53-da2552f8f505.h5_-35,Jogador_4b303745-9956-4a1d-be5a-2a1a41e0cee1.h5_-39,Jogador_57941838-bd97-43ea-9896-348c035c61fe.h5_-41,Jogador_ce12399e-d6d5-4862-98a8-8b39613e2c48.h5_-47
Jogador_d391b884-f69b-4379-9887-bb38087d466e.h5_5,Jogador_c24fa810-0113-468f-8602-96009fc04958.h5_5,Jogador_69eb0c9d-8e7b-49fa-8559-1e2c0e80e457.h5_1,Jogador_4aea63a5-01fe-4be9-a21e-d58c137d0f77.h5_-2,Jogador_4803a05b-8dfb-4632-90de-831e31544d79.h5_-3,Jogador_e5600cf0-2ceb-4d8a-ac9d-928c4f166d14.h5_-4,Jogador_cecfd941-626c-48c4-b233-76df4038992c.h5_-4,Jogador_78a5f2fe-43f3-497b-b52e-c5c3ed175a3b.h5_-5,Jogador_0d87b6d2-4492-435c-83fa-a91fcef4610b.h5_-10,Jogador_ec696e73-cdf5-41bf-b5ee-0a598eb29ac0.h5_-14,Jogador_fa8bdcc5-3d74-412c-89a8-88253d9831cc.h5_-16,Jogador_99b4cf13-fd5f-42fe-a5fc-614ffe3b5b96.h5_-20,Jogador_0e859c33-7e84-4bf4-8529-07406160215e.h5_-20,Jogador_18577243-d613-4ffe-871e-5aea06fc2ed3.h5_-25,Jogador_da07ef05-9371-40e4-986d-25601b5dda34.h5_-25,Jogador_7d6fe0b2-1376-4909-949b-571a9cba456b.h5_3,Jogador_7042e35e-c9f6-4e4a-9860-a09567fb502c.h5_-5,Jogador_e2f8b93a-f098-49f5-b99a-2013e59a70f8.h5_-6,Jogador_087ded76-a1ab-435e-93da-ed644ad588c9.h5_-7,Jogador_3c5669fb-f0e8-4f8c-9f22-d2a371fcec21.h5_-9,Jogador_aade47d1-8c9b-4c5c-94d3-1abaf7bdd0f3.h5_-13,Jogador_349cb030-03c2-43cc-a29e-c6bbb1640013.h5_-16,Jogador_bf5517a8-00d0-4f58-8bbe-6767ec8ff91f.h5_-19,Jogador_119ad01c-de6a-4bf8-a452-c91699c8479f.h5_-27,Jogador_2083b708-e32c-4af1-af39-b96e86e6bb9a.h5_-28,Jogador_97c4bc3e-5f77-41cb-aa0a-dd7d01ec4bfc.h5_-41,Jogador_5ca4f68f-04a9-4d66-a485-ff9ceaaa1d24.h5_-42,Jogador_00d37795-6ce0-49e5-abb6-d84672756525.h5_-42,Jogador_69da5d4b-7209-488a-b0a0-ef7825f2a3ff.h5_-43,Jogador_c18609fd-1676-48be-afdb-7398f72b8ba5.h5_-45
