jogador1,jogador2,jogador3,jogador4,jogador5,jogador6,jogador7,jogador8,jogador9,jogador10,jogador11,jogador12,jogador13,jogador14,jogador15,jogador16,jogador17,jogador18,jogador19,jogador20,jogador21,jogador22,jogador23,jogador24,jogador25,jogador26,jogador27,jogador28,jogador29
Jogador_a362df5b-cbb0-4cab-8cb6-955a5d484b21.h5_17,Jogador_7113f8d0-6759-487e-bd91-8000331c8c2d.h5_14,Jogador_daa534e1-51f2-4314-91d6-6a5c97e6f1fa.h5_7,Jogador_dce71e35-71e8-41b8-b91c-3a5e6b8d23fc.h5_6,Jogador_3df19bef-69f5-447b-8ea7-0f55002322c8.h5_-1,Jogador_2d94fcd7-7c4e-41ed-9c98-f560c65e6cc7.h5_-5,Jogador_5c9c0a1e-4793-4f3d-87e7-64e4ca19d8cd.h5_-5,Jogador_2e55bc06-284e-4e8d-8dba-1b5d9c2f971c.h5_-10,Jogador_4cd8d5a3-f2dc-4f69-a365-49ccb86884df.h5_-10,Jogador_f8c4e3ae-6215-49ab-a07e-38c9f53dec1b.h5_-11,Jogador_f586b940-3295-4f98-9701-513f89cc66ad.h5_-11,Jogador_bf090be2-7d1b-417b-bc21-8a5a768e3c8b.h5_-15,Jogador_e5c8732b-61bd-4975-a08f-cd2ba3643f4c.h5_-16,Jogador_5c0b01d5-8cd9-4faa-8cc3-c8f76ee0a269.h5_-16,Jogador_8c09026b-23f4-4464-b4b5-e8fa6cb316d6.h5_-17,Jogador_cc5c269a-1d1c-4dd0-b240-3ce42d1e0d04.h5_-17,Jogador_91261d8c-accb-4a12-9df1-9af6f4a16fcb.h5_-17,Jogador_5f962734-2d6b-4465-8794-5e55dd96088f.h5_-18,Jogador_a768d687-dfd4-4905-8220-ce44a00a1baf.h5_-20,Jogador_1bb3247d-d6c1-46a6-ab5e-abd0c27bb6a7.h5_-23,Jogador_940c1aba-020b-4fe9-b1ac-5f55ad3fd300.h5_-23,Jogador_76512cce-b796-42dc-84d3-4331e38fccc8.h5_-24,Jogador_de2a7a8a-8620-4b4f-a163-c06893d12eb5.h5_-26,Jogador_cf1afd89-c6b5-4df5-af40-d1aefb1a5fc0.h5_-28,Jogador_e6a84744-a82c-4507-a555-0ded18e3bdc1.h5_-32,Jogador_063b0129-edc3-4453-a35f-426219e70dbb.h5_-35,Jogador_081601f1-6412-4219-a99b-87d4fc73fd75.h5_-36,Jogador_d9a1ae15-7383-4578-a85d-7eeaa7ba186d.h5_-42,Jogador_a5a862a9-480b-4473-96a5-bf59e003a21c.h5_-44,Jogador_fdafe496-a81d-4587-bb35-bef02aa9b5e4.h5_-48
Jogador_a362df5b-cbb0-4cab-8cb6-955a5d484b21.h5_9,Jogador_dce71e35-71e8-41b8-b91c-3a5e6b8d23fc.h5_8,Jogador_6c1c1d53-a694-47ae-b578-2285129c5359.h5_7,Jogador_daa534e1-51f2-4314-91d6-6a5c97e6f1fa.h5_5,Jogador_905821ee-77e3-4154-a122-da94468f68d2.h5_4,Jogador_2d94fcd7-7c4e-41ed-9c98-f560c65e6cc7.h5_0,Jogador_3df19bef-69f5-447b-8ea7-0f55002322c8.h5_-7,Jogador_5cf08b07-4974-4d91-a3d1-39bda834f40f.h5_-12,Jogador_2e55bc06-284e-4e8d-8dba-1b5d9c2f971c.h5_-15,Jogador_9d142994-2c1a-446b-a432-9090fb6f11d9.h5_-17,Jogador_5c0b01d5-8cd9-4faa-8cc3-c8f76ee0a269.h5_-17,Jogador_5c9c0a1e-4793-4f3d-87e7-64e4ca19d8cd.h5_-18,Jogador_08f9ed65-40a6-42ef-aa26-df8a6ffccb4c.h5_-19,Jogador_4cd8d5a3-f2dc-4f69-a365-49ccb86884df.h5_-23,Jogador_59390149-9975-4a65-a91d-5b6a4b3ada01.h5_-24,Jogador_a256d521-0844-4b97-b609-e57d007e52d8.h5_-2,Jogador_7113f8d0-6759-487e-bd91-8000331c8c2d.h5_-4,Jogador_ee8ca8c2-b033-4b93-95d0-76987844ed35.h5_-7,Jogador_b7414508-2923-42b0-979f-5737e4b5f508.h5_-18,Jogador_fd679b7d-fbda-4ec6-8fa1-0d5f954d5819.h5_-20,Jogador_f586b940-3295-4f98-9701-513f89cc66ad.h5_-21,Jogador_eca04d0f-26ec-440f-a254-7b3666c8c365.h5_-23,Jogador_9c27beb4-4080-4276-b0d5-f2eca851fdb4.h5_-25,Jogador_627a1601-b6ea-4998-9ac5-9b1dc7eae341.h5_-25,Jogador_e5c8732b-61bd-4975-a08f-cd2ba3643f4c.h5_-26,Jogador_50da4861-921f-4327-a66f-31f8c24e86bd.h5_-27,Jogador_8c09026b-23f4-4464-b4b5-e8fa6cb316d6.h5_-31,Jogador_bf090be2-7d1b-417b-bc21-8a5a768e3c8b.h5_-31,Jogador_f8c4e3ae-6215-49ab-a07e-38c9f53dec1b.h5_-43,Jogador_9a02c4c6-d64a-4735-afab-c38dfc606f02.h5_-44
Jogador_a362df5b-cbb0-4cab-8cb6-955a5d484b21.h5_9,Jogador_d5337fb3-c679-4b32-8f68-45e038bc9191.h5_-1,Jogador_2d94fcd7-7c4e-41ed-9c98-f560c65e6cc7.h5_-4,Jogador_dce71e35-71e8-41b8-b91c-3a5e6b8d23fc.h5_-4,Jogador_3df19bef-69f5-447b-8ea7-0f55002322c8.h5_-4,Jogador_1677aa68-03e0-4301-9dac-c548e90b72f8.h5_-5,Jogador_2e55bc06-284e-4e8d-8dba-1b5d9c2f971c.h5_-7,Jogador_daa534e1-51f2-4314-91d6-6a5c97e6f1fa.h5_-8,Jogador_7ad2d616-d4f3-490c-86c5-0fea62c69904.h5_-14,Jogador_59390149-9975-4a65-a91d-5b6a4b3ada01.h5_-15,Jogador_df7e4963-19e7-4f68-885c-703ae94b1e1a.h5_-15,Jogador_5e4e6012-ece5-4666-97de-de5dfe400d5d.h5_-17,Jogador_5cf08b07-4974-4d91-a3d1-39bda834f40f.h5_-21,Jogador_5c9c0a1e-4793-4f3d-87e7-64e4ca19d8cd.h5_-22,Jogador_e82716b6-cdca-49d6-92a6-f139b1d3de06.h5_-28,Jogador_6c1c1d53-a694-47ae-b578-2285129c5359.h5_-6,Jogador_7ca5dec6-717c-4f7d-9302-52ce63b01e3b.h5_-6,Jogador_d941ee3f-70ee-4e98-bbd6-db5f94517cdd.h5_-8,Jogador_728a2d67-c44c-4e7b-886c-77c5a0d1de86.h5_-10,Jogador_905821ee-77e3-4154-a122-da94468f68d2.h5_-12,Jogador_33c7504f-c576-4758-b902-23b335c604e4.h5_-19,Jogador_9d142994-2c1a-446b-a432-9090fb6f11d9.h5_-24,Jogador_1b8a1807-299d-41bc-a038-e3e7b2e92572.h5_-27,Jogador_39aee940-59e7-4584-8413-decb75f47fd7.h5_-28,Jogador_4cd8d5a3-f2dc-4f69-a365-49ccb86884df.h5_-28,Jogador_fabae408-0b66-4684-b62f-22f4b68bf72f.h5_-30,Jogador_08f9ed65-40a6-42ef-aa26-df8a6ffccb4c.h5_-33,Jogador_5c0b01d5-8cd9-4faa-8cc3-c8f76ee0a269.h5_-34,Jogador_3a6287f5-b907-4d6c-92a1-4048acd6b60a.h5_-39,Jogador_e1536a50-dd46-45da-a465-dcad0393d72b.h5_-40
Jogador_d5337fb3-c679-4b32-8f68-45e038bc9191.h5_13,Jogador_daa534e1-51f2-4314-91d6-6a5c97e6f1fa.h5_11,Jogador_2d94fcd7-7c4e-41ed-9c98-f560c65e6cc7.h5_4,Jogador_a362df5b-cbb0-4cab-8cb6-955a5d484b21.h5_1,Jogador_1677aa68-03e0-4301-9dac-c548e90b72f8.h5_-4,Jogador_cd7cbfbf-04e9-4ed9-b534-3922b9cadf04.h5_-7,Jogador_70dcc92a-ad73-4aca-92c1-10d3dc65d0c1.h5_-9,Jogador_30f754d5-ec1c-4e31-a292-a0ceeb947b06.h5_-10,Jogador_2e55bc06-284e-4e8d-8dba-1b5d9c2f971c.h5_-10,Jogador_59390149-9975-4a65-a91d-5b6a4b3ada01.h5_-13,Jogador_df7e4963-19e7-4f68-885c-703ae94b1e1a.h5_-18,Jogador_3df19bef-69f5-447b-8ea7-0f55002322c8.h5_-19,Jogador_5c9c0a1e-4793-4f3d-87e7-64e4ca19d8cd.h5_-24,Jogador_5cf08b07-4974-4d91-a3d1-39bda834f40f.h5_-26,Jogador_fad6b21b-c262-4a10-bf1d-9b6133556097.h5_-28,Jogador_56a02331-04ff-4e62-b4a8-7f72f6158156.h5_-3,Jogador_68a8effc-c993-41bb-a554-f3f1b72db833.h5_-8,Jogador_baf388c8-d0b1-4a3e-9a9d-c8e0c30d07b8.h5_-9,Jogador_dce71e35-71e8-41b8-b91c-3a5e6b8d23fc.h5_-13,Jogador_7ad2d616-d4f3-490c-86c5-0fea62c69904.h5_-20,Jogador_612cc837-f3fd-48ea-a742-b0e93cb5d177.h5_-25,Jogador_69122cc1-30f8-4f74-bc67-9b90602cd231.h5_-26,Jogador_2f92e86c-cbeb-4bf9-82c7-731686726d91.h5_-27,Jogador_e82716b6-cdca-49d6-92a6-f139b1d3de06.h5_-28,Jogador_15405826-5293-4d7d-93c3-d272745214a7.h5_-29,Jogador_5e4e6012-ece5-4666-97de-de5dfe400d5d.h5_-32,Jogador_3805e3b5-5e4e-44bf-8347-d76e4a5ca261.h5_-34,Jogador_86a80a74-2054-4bc7-9da7-763bfc1b0aff.h5_-38,Jogador_f29376a9-6fa5-4aa9-abb7-825e4dfbf41a.h5_-39,Jogador_1c0fafda-d725-45dc-92e0-9fc5b6226935.h5_-60
Jogador_28d2e25c-2bef-47c8-8899-faa4374fa77c.h5_8,Jogador_6216e877-8554-434c-b6e0-e98d6af39fec.h5_5,Jogador_3df19bef-69f5-447b-8ea7-0f55002322c8.h5_2,Jogador_d5337fb3-c679-4b32-8f68-45e038bc9191.h5_-1,Jogador_daa534e1-51f2-4314-91d6-6a5c97e6f1fa.h5_-7,Jogador_a362df5b-cbb0-4cab-8cb6-955a5d484b21.h5_-7,Jogador_e96e911f-3b06-43f7-9fe9-5936563f9656.h5_-9,Jogador_2e55bc06-284e-4e8d-8dba-1b5d9c2f971c.h5_-9,Jogador_70dcc92a-ad73-4aca-92c1-10d3dc65d0c1.h5_-10,Jogador_1677aa68-03e0-4301-9dac-c548e90b72f8.h5_-14,Jogador_df7e4963-19e7-4f68-885c-703ae94b1e1a.h5_-14,Jogador_9c5dae9f-de22-4977-85af-affac5d5beb8.h5_-16,Jogador_655983f2-f5fd-4b15-85c5-e21327be9f15.h5_-20,Jogador_5c9c0a1e-4793-4f3d-87e7-64e4ca19d8cd.h5_-25,Jogador_96e0c5ba-9a80-487b-b4cc-aaa4104a298e.h5_-28,Jogador_cd7cbfbf-04e9-4ed9-b534-3922b9cadf04.h5_-8,Jogador_c6c3c9f1-a234-4ff5-bff1-429b96c023c3.h5_-12,Jogador_30f754d5-ec1c-4e31-a292-a0ceeb947b06.h5_-17,Jogador_2d94fcd7-7c4e-41ed-9c98-f560c65e6cc7.h5_-18,Jogador_df0cc3d1-0681-40ca-a492-ac580d218564.h5_-19,Jogador_50634600-971b-4f16-bd8c-8cac63af7d65.h5_-19,Jogador_09935c81-2b1d-4722-a8cd-9fdecfbef67b.h5_-20,Jogador_827bc8b0-b7cf-4f79-8aef-e8d84d45abf2.h5_-26,Jogador_5f09801b-60d4-41fb-86cd-ee88d9d17ba3.h5_-27,Jogador_ff52165b-2ef4-4e48-b0ff-1a41d35ebe7d.h5_-28,Jogador_5903de66-a6a1-4ef5-9e5c-d841076477ed.h5_-32,Jogador_fad6b21b-c262-4a10-bf1d-9b6133556097.h5_-33,Jogador_5cf08b07-4974-4d91-a3d1-39bda834f40f.h5_-33,Jogador_59390149-9975-4a65-a91d-5b6a4b3ada01.h5_-33,Jogador_465872c8-0a5e-4f01-9b40-407ac7b32e3f.h5_-38
Jogador_e9830f59-4ef6-489c-a28c-9e2da245c3cb.h5_7,Jogador_e96e911f-3b06-43f7-9fe9-5936563f9656.h5_3,Jogador_973efdbd-5011-4526-b0a0-bc9e2ad5372a.h5_1,Jogador_6216e877-8554-434c-b6e0-e98d6af39fec.h5_1,Jogador_d5337fb3-c679-4b32-8f68-45e038bc9191.h5_1,Jogador_28d2e25c-2bef-47c8-8899-faa4374fa77c.h5_0,Jogador_4d827115-6334-4cdf-85a1-2502de19b623.h5_-5,Jogador_2e55bc06-284e-4e8d-8dba-1b5d9c2f971c.h5_-11,Jogador_a46f046f-be05-436c-941d-e045d9f7e27f.h5_-11,Jogador_cf76ad4c-8dd4-4e22-b876-5b7dd5eb00c7.h5_-12,Jogador_c2597cbc-5646-4ebf-994b-9f6b36a19ece.h5_-12,Jogador_a362df5b-cbb0-4cab-8cb6-955a5d484b21.h5_-12,Jogador_1677aa68-03e0-4301-9dac-c548e90b72f8.h5_-15,Jogador_f0f1fad5-0cf4-423b-a626-00a17fa9f16f.h5_-17,Jogador_daa534e1-51f2-4314-91d6-6a5c97e6f1fa.h5_-25,Jogador_f35a5adf-c426-4be5-9962-804dc4445d96.h5_-10,Jogador_9c5dae9f-de22-4977-85af-affac5d5beb8.h5_-13,Jogador_c72d6652-987f-4b84-ad3e-4c2c8238062d.h5_-15,Jogador_df7e4963-19e7-4f68-885c-703ae94b1e1a.h5_-16,Jogador_384e8adf-f7f4-4991-80f3-046ca5bfe9a2.h5_-20,Jogador_3df19bef-69f5-447b-8ea7-0f55002322c8.h5_-21,Jogador_70dcc92a-ad73-4aca-92c1-10d3dc65d0c1.h5_-22,Jogador_c8be6224-6f1e-49c4-ae93-8d5d2eeffcaa.h5_-23,Jogador_5c9c0a1e-4793-4f3d-87e7-64e4ca19d8cd.h5_-25,Jogador_a10dc2af-e81d-45c9-a85a-89175af404a0.h5_-27,Jogador_96e0c5ba-9a80-487b-b4cc-aaa4104a298e.h5_-27,Jogador_810685ae-e271-4418-a920-9f0abb1ef3be.h5_-30,Jogador_cfd9bb40-51a5-4d7e-ab77-e09547cda2d8.h5_-41,Jogador_655983f2-f5fd-4b15-85c5-e21327be9f15.h5_-42,Jogador_6a4c4e47-8567-4131-a0bd-2ca29fa1e579.h5_-64
Jogador_7fffc128-8246-413b-8a43-ebc723fbd98d.h5_8,Jogador_d12f8b5b-6995-4979-8654-17c063e9066e.h5_3,Jogador_28d2e25c-2bef-47c8-8899-faa4374fa77c.h5_0,Jogador_973efdbd-5011-4526-b0a0-bc9e2ad5372a.h5_-4,Jogador_6e45a54c-268d-4e26-87cf-1188f04fc303.h5_-6,Jogador_82d23992-b0b4-4c1e-becc-af90853756e7.h5_-8,Jogador_8b5831ea-9630-48f6-adc6-ef0d869f1bf3.h5_-10,Jogador_d5337fb3-c679-4b32-8f68-45e038bc9191.h5_-10,Jogador_e9830f59-4ef6-489c-a28c-9e2da245c3cb.h5_-13,Jogador_a46f046f-be05-436c-941d-e045d9f7e27f.h5_-14,Jogador_b5ac4ab5-c257-4d62-904e-d692b8e53c12.h5_-15,Jogador_c2597cbc-5646-4ebf-994b-9f6b36a19ece.h5_-19,Jogador_f0f1fad5-0cf4-423b-a626-00a17fa9f16f.h5_-23,Jogador_1677aa68-03e0-4301-9dac-c548e90b72f8.h5_-25,Jogador_daa534e1-51f2-4314-91d6-6a5c97e6f1fa.h5_-30,Jogador_4d827115-6334-4cdf-85a1-2502de19b623.h5_-7,Jogador_6216e877-8554-434c-b6e0-e98d6af39fec.h5_-10,Jogador_2b15f688-5051-48e2-9598-7a3664f8ef4a.h5_-11,Jogador_03b63a2b-dff8-4244-a05f-4da13bcfd8e5.h5_-11,Jogador_e96e911f-3b06-43f7-9fe9-5936563f9656.h5_-16,Jogador_041c57a7-f757-4209-a44c-195b948bd4b8.h5_-17,Jogador_a362df5b-cbb0-4cab-8cb6-955a5d484b21.h5_-17,Jogador_1da15538-6a9b-479d-ac17-242d025379dd.h5_-20,Jogador_2e55bc06-284e-4e8d-8dba-1b5d9c2f971c.h5_-23,Jogador_cf76ad4c-8dd4-4e22-b876-5b7dd5eb00c7.h5_-27,Jogador_f117f1d0-b49e-4617-8b4e-7a50d8ac1fdd.h5_-28,Jogador_a441fbee-3021-4653-ad2e-db8bfd4bb5a9.h5_-34,Jogador_8d01900e-960a-437a-95ae-b53b04bfc06a.h5_-35,Jogador_6bb86755-be94-4240-9bc3-a1f8505c85e3.h5_-38,Jogador_da50bf3c-3552-4761-9d43-7f988661bd3c.h5_-42
Jogador_7fffc128-8246-413b-8a43-ebc723fbd98d.h5_2,Jogador_53658ac5-64d4-4bb7-b127-5bd028f4b444.h5_0,Jogador_8b5831ea-9630-48f6-adc6-ef0d869f1bf3.h5_0,Jogador_d12f8b5b-6995-4979-8654-17c063e9066e.h5_0,Jogador_6e45a54c-268d-4e26-87cf-1188f04fc303.h5_-5,Jogador_973efdbd-5011-4526-b0a0-bc9e2ad5372a.h5_-6,Jogador_d5337fb3-c679-4b32-8f68-45e038bc9191.h5_-6,Jogador_28d2e25c-2bef-47c8-8899-faa4374fa77c.h5_-9,Jogador_9a513003-53fe-4443-8c31-bad0aaa5cffb.h5_-11,Jogador_bcd85dc9-ac90-43db-b337-366d087cf324.h5_-12,Jogador_82d23992-b0b4-4c1e-becc-af90853756e7.h5_-18,Jogador_79bb9960-e08e-4c7f-be08-06f49ef541c2.h5_-18,Jogador_c2597cbc-5646-4ebf-994b-9f6b36a19ece.h5_-21,Jogador_1677aa68-03e0-4301-9dac-c548e90b72f8.h5_-22,Jogador_5057bf98-2c21-4755-94fd-419385ceb578.h5_-28,Jogador_04126ecf-e788-4470-b360-6253a30a26e8.h5_-9,Jogador_388442c3-89f4-4900-a746-81748ec6a483.h5_-9,Jogador_e9830f59-4ef6-489c-a28c-9e2da245c3cb.h5_-12,Jogador_b32847dc-ddd1-4305-add8-5f8942605d47.h5_-16,Jogador_cb189ed7-bc55-445d-b39a-464266c79c60.h5_-17,Jogador_8e7aa048-e4ae-4c72-ae6e-ff33635d3acc.h5_-20,Jogador_10237116-471c-404a-8672-88e400d518a2.h5_-23,Jogador_115e70da-8655-44fb-9f8c-a0c5d90200af.h5_-24,Jogador_8deb9624-0429-4f2f-b07a-c4c8aa797a71.h5_-24,Jogador_b5ac4ab5-c257-4d62-904e-d692b8e53c12.h5_-25,Jogador_7119e087-438b-4b07-a7a9-71e690e64615.h5_-33,Jogador_542e0383-7fe3-4786-94b3-6bf82a4349ee.h5_-34,Jogador_a46f046f-be05-436c-941d-e045d9f7e27f.h5_-34,Jogador_daa534e1-51f2-4314-91d6-6a5c97e6f1fa.h5_-38,Jogador_f0f1fad5-0cf4-423b-a626-00a17fa9f16f.h5_-39
Jogador_d12f8b5b-6995-4979-8654-17c063e9066e.h5_4,Jogador_f1b438e8-33cc-452f-8989-3dd89682a3a5.h5_3,Jogador_7fffc128-8246-413b-8a43-ebc723fbd98d.h5_-2,Jogador_53658ac5-64d4-4bb7-b127-5bd028f4b444.h5_-4,Jogador_214e754a-0e18-4b6f-8cb5-e768e28a6803.h5_-4,Jogador_6e45a54c-268d-4e26-87cf-1188f04fc303.h5_-6,Jogador_0c3001ff-81d3-42df-9d6b-c2b015baae79.h5_-8,Jogador_82d23992-b0b4-4c1e-becc-af90853756e7.h5_-9,Jogador_d5337fb3-c679-4b32-8f68-45e038bc9191.h5_-10,Jogador_28d2e25c-2bef-47c8-8899-faa4374fa77c.h5_-11,Jogador_da910492-7a54-4dad-9fbf-b15f78c3d651.h5_-12,Jogador_9a513003-53fe-4443-8c31-bad0aaa5cffb.h5_-12,Jogador_5c314ad4-3bb3-494c-845e-61b4a824e473.h5_-14,Jogador_a8570e5b-82eb-4fab-8d24-8b2c701fc17e.h5_-19,Jogador_79bb9960-e08e-4c7f-be08-06f49ef541c2.h5_-24,Jogador_83fee023-93a4-4acd-8089-3d3bb0aee288.h5_-8,Jogador_8b5831ea-9630-48f6-adc6-ef0d869f1bf3.h5_-10,Jogador_417ff594-9116-4c90-b175-0466a667cc67.h5_-16,Jogador_1677aa68-03e0-4301-9dac-c548e90b72f8.h5_-16,Jogador_3896cfb5-04d3-4c82-8d13-eca4f46c459c.h5_-17,Jogador_973efdbd-5011-4526-b0a0-bc9e2ad5372a.h5_-19,Jogador_bcd85dc9-ac90-43db-b337-366d087cf324.h5_-23,Jogador_a9341ef8-968e-4a1a-875b-46e8baadd3d5.h5_-23,Jogador_469cf987-f78e-4626-a1d2-bbfc30052250.h5_-25,Jogador_c6e946a6-d368-401e-aae4-57501f01bf8f.h5_-27,Jogador_c2597cbc-5646-4ebf-994b-9f6b36a19ece.h5_-28,Jogador_5057bf98-2c21-4755-94fd-419385ceb578.h5_-30,Jogador_8da7e6ac-813b-43d7-a8fd-b45c9454e795.h5_-32,Jogador_0fa9a3fb-99f1-4344-b654-2b024d863c0a.h5_-36,Jogador_f4150a83-1c85-4bd3-b30e-46672436b616.h5_-44
Jogador_d12f8b5b-6995-4979-8654-17c063e9066e.h5_3,Jogador_6e45a54c-268d-4e26-87cf-1188f04fc303.h5_-3,Jogador_f1b438e8-33cc-452f-8989-3dd89682a3a5.h5_-5,Jogador_5c314ad4-3bb3-494c-845e-61b4a824e473.h5_-7,Jogador_486531f4-5abb-4b39-9818-04b8ef05410e.h5_-7,Jogador_dad38516-0127-48f1-ac40-d4e0554b3bfa.h5_-8,Jogador_d5337fb3-c679-4b32-8f68-45e038bc9191.h5_-8,Jogador_9f7a8aa7-20d5-4ffd-8e0b-3aac44b9d7d8.h5_-11,Jogador_7fffc128-8246-413b-8a43-ebc723fbd98d.h5_-11,Jogador_1a5b0819-0774-412f-b65f-5c26746cee74.h5_-12,Jogador_505bbc5b-251a-4414-b023-28b49e708b34.h5_-12,Jogador_749bd804-5796-4636-b7a4-a1ef4adbb641.h5_-14,Jogador_9a513003-53fe-4443-8c31-bad0aaa5cffb.h5_-16,Jogador_5603742b-4d14-4642-93f8-bfcf5437df34.h5_-17,Jogador_fc7ab191-834b-4218-a791-b04add2379a5.h5_-19,Jogador_95d2ba35-b053-43db-ad8e-638c0a83f5c7.h5_-9,Jogador_28d2e25c-2bef-47c8-8899-faa4374fa77c.h5_-16,Jogador_82d23992-b0b4-4c1e-becc-af90853756e7.h5_-17,Jogador_88e39c48-9c36-4473-9100-063cdba87d6a.h5_-18,Jogador_da910492-7a54-4dad-9fbf-b15f78c3d651.h5_-18,Jogador_7a3ffa4e-e873-42be-adad-0f21fbff2661.h5_-19,Jogador_5e4b073b-32a2-41bf-b63d-f5d5367f0875.h5_-22,Jogador_901f538c-6cf1-4545-b162-92f8ee89c919.h5_-22,Jogador_214e754a-0e18-4b6f-8cb5-e768e28a6803.h5_-24,Jogador_a8570e5b-82eb-4fab-8d24-8b2c701fc17e.h5_-24,Jogador_79bb9960-e08e-4c7f-be08-06f49ef541c2.h5_-25,Jogador_53658ac5-64d4-4bb7-b127-5bd028f4b444.h5_-26,Jogador_0c3001ff-81d3-42df-9d6b-c2b015baae79.h5_-26,Jogador_03fe2836-e0a0-4832-8f7e-08a86f37a70b.h5_-26,Jogador_c33de19e-a831-4714-aeb1-3ab272cc7494.h5_-52
