jogador1,jogador2,jogador3,jogador4,jogador5,jogador6,jogador7,jogador8,jogador9,jogador10,jogador11,jogador12,jogador13,jogador14,jogador15,jogador16,jogador17,jogador18,jogador19,jogador20,jogador21,jogador22,jogador23,jogador24,jogador25,jogador26,jogador27,jogador28,jogador29
Jogador_de82917f-a51d-4428-abe9-fbf76f2bbb0b.h5_25,Jogador_948c8bf5-1a67-4c30-a00a-ddcbe52863bc.h5_13,Jogador_501c5c54-87ab-4186-b758-19f669665c4d.h5_7,Jogador_bb7fb7cd-3108-4698-9621-17c4525f79f3.h5_6,Jogador_f4226cf6-9f27-4e19-8779-47f30dac2ce7.h5_-1,Jogador_47c37b60-0cab-44c5-92cf-833067824cbf.h5_-7,Jogador_ee62332b-5fb3-4cdc-9d14-cdd77255d128.h5_-9,Jogador_85566dd4-ab64-45af-b3a2-43ae15b75acf.h5_-10,Jogador_013317d8-8994-442b-bf2f-e4255c550209.h5_-10,Jogador_8aa7117e-1ba5-4606-921a-c6294e625d12.h5_-12,Jogador_80ef4a5b-0ce8-4caf-9f88-0acd855c2e38.h5_-13,Jogador_90ea116e-1d99-419e-8452-6d124d473c7a.h5_-15,Jogador_65d85a47-240a-41a2-afc5-8ec9f867b786.h5_-15,Jogador_51704dc6-4147-4c35-8602-2a0fd33f5d00.h5_-16,Jogador_769722c2-bc60-4a35-af50-ede8ed0a3e81.h5_-16,Jogador_902916e2-a828-4f26-b07d-3f3af33d395c.h5_-16,Jogador_0cb9bb6b-8e7b-473f-877a-203795e23068.h5_-17,Jogador_4dd62c2a-0f35-46b9-842e-7af79b5e2ea4.h5_-19,Jogador_7c88960f-e88c-47c5-8a6c-52067495f15c.h5_-23,Jogador_be4c7950-aa27-4d95-b7d1-1fe8731b20b2.h5_-25,Jogador_9f426169-76b1-4343-b426-ffe30316d3b5.h5_-26,Jogador_5e5c2c74-a162-49ac-83f0-2c832a2dfbf6.h5_-26,Jogador_59fb512b-01b2-49fd-9854-f47b7a392dda.h5_-28,Jogador_93ce312b-0a87-412a-bd94-48c27911e9c2.h5_-30,Jogador_dcef16b2-a4f8-42ab-a092-a3a4cd9b2e81.h5_-31,Jogador_5b2c47ef-6684-4632-9816-2c0359023de6.h5_-32,Jogador_2ff6291d-ea4b-4f41-93e6-eacdd0d8e462.h5_-35,Jogador_52ed18b0-cb39-490d-a9f4-19fa38e2c290.h5_-38,Jogador_5895e114-ee8a-483b-bc45-4b28956b0d9e.h5_-45,Jogador_e1f23f6e-7b1c-4edf-b116-8202546508c5.h5_-54
Jogador_de82917f-a51d-4428-abe9-fbf76f2bbb0b.h5_18,Jogador_092fb125-e4ed-4bb4-bc73-e232920ac75b.h5_12,Jogador_bb7fb7cd-3108-4698-9621-17c4525f79f3.h5_-1,Jogador_46bd14ef-efb9-4875-926d-009d332c13fa.h5_-1,Jogador_6828ccfe-4c90-4af7-a33c-27988b6b34ba.h5_-1,Jogador_989b5213-5c00-40b7-8b55-e3185c9a3cd2.h5_-5,Jogador_95b762aa-7722-4eb6-b6ea-3744d166405c.h5_-5,Jogador_2aeb6cb2-e2dd-4408-b0c8-14a652702328.h5_-8,Jogador_cc604e31-37c7-4907-beab-f0a2675cda6d.h5_-10,Jogador_948c8bf5-1a67-4c30-a00a-ddcbe52863bc.h5_-10,Jogador_013317d8-8994-442b-bf2f-e4255c550209.h5_-10,Jogador_501c5c54-87ab-4186-b758-19f669665c4d.h5_-11,Jogador_f4226cf6-9f27-4e19-8779-47f30dac2ce7.h5_-16,Jogador_ee62332b-5fb3-4cdc-9d14-cdd77255d128.h5_-16,Jogador_47c37b60-0cab-44c5-92cf-833067824cbf.h5_-20,Jogador_8aa7117e-1ba5-4606-921a-c6294e625d12.h5_-20,Jogador_648e472c-a201-46a2-abcd-e4f950b5008f.h5_-23,Jogador_85566dd4-ab64-45af-b3a2-43ae15b75acf.h5_-23,Jogador_80ef4a5b-0ce8-4caf-9f88-0acd855c2e38.h5_-25,Jogador_501d0a05-39b5-4950-ae5a-15ea68edc25a.h5_-25,Jogador_85e8e64e-e0d6-44a2-a336-f76c910eed46.h5_-26,Jogador_65d85a47-240a-41a2-afc5-8ec9f867b786.h5_-26,Jogador_e94f1055-b1a8-4a1f-9149-56ec526946f2.h5_-26,Jogador_90ea116e-1d99-419e-8452-6d124d473c7a.h5_-27,Jogador_51704dc6-4147-4c35-8602-2a0fd33f5d00.h5_-27,Jogador_769722c2-bc60-4a35-af50-ede8ed0a3e81.h5_-27,Jogador_9718841d-ed47-45e4-abe8-cf52ca5ec828.h5_-30,Jogador_44462d4f-7cfc-4465-98ee-eccb8df1f62f.h5_-30,Jogador_34075409-16d9-4e75-b8ea-59de77376214.h5_-31,Jogador_16a0330f-acc8-4017-a71d-322b25d7f92d.h5_-36
Jogador_6a6d33d8-ccbb-4115-aea8-06b39766f8d3.h5_2,Jogador_ee62332b-5fb3-4cdc-9d14-cdd77255d128.h5_2,Jogador_092fb125-e4ed-4bb4-bc73-e232920ac75b.h5_1,Jogador_de82917f-a51d-4428-abe9-fbf76f2bbb0b.h5_1,Jogador_1c74b3cb-3359-4e98-9161-66a8d91eac7b.h5_-1,Jogador_8a8822c3-6cf5-41c4-bb60-9f0beb593f45.h5_-3,Jogador_1edb24f9-a0c1-4bec-bb29-aefba679e797.h5_-7,Jogador_a1955d77-f462-4f2d-a8e5-5c2528e3b38b.h5_-7,Jogador_46bd14ef-efb9-4875-926d-009d332c13fa.h5_-9,Jogador_95b762aa-7722-4eb6-b6ea-3744d166405c.h5_-11,Jogador_94e4cd5c-8133-40af-8234-d13ab7bf7ab0.h5_-12,Jogador_bb7fb7cd-3108-4698-9621-17c4525f79f3.h5_-13,Jogador_e87e312e-089c-47d9-956c-d5f7db76961c.h5_-14,Jogador_6828ccfe-4c90-4af7-a33c-27988b6b34ba.h5_-14,Jogador_c62fe859-431f-4133-b5c3-e72948d3daec.h5_-15,Jogador_989b5213-5c00-40b7-8b55-e3185c9a3cd2.h5_-21,Jogador_cc604e31-37c7-4907-beab-f0a2675cda6d.h5_-21,Jogador_2aeb6cb2-e2dd-4408-b0c8-14a652702328.h5_-22,Jogador_f4226cf6-9f27-4e19-8779-47f30dac2ce7.h5_-22,Jogador_47c37b60-0cab-44c5-92cf-833067824cbf.h5_-22,Jogador_51057275-e826-4f1c-8615-75502c3619f7.h5_-22,Jogador_f09969b7-73b4-47c3-865b-6e5f13d76a5a.h5_-22,Jogador_501c5c54-87ab-4186-b758-19f669665c4d.h5_-23,Jogador_e82095c7-8ce8-4fc1-b992-b473155c2fac.h5_-23,Jogador_aed1f487-d911-44ff-983b-90e044885eee.h5_-24,Jogador_948c8bf5-1a67-4c30-a00a-ddcbe52863bc.h5_-25,Jogador_61df54de-76a5-4df2-844d-2031f732f677.h5_-28,Jogador_013317d8-8994-442b-bf2f-e4255c550209.h5_-35,Jogador_d6faa142-f134-48a6-ae4e-0f3c92f71262.h5_-37,Jogador_164b4726-2780-43c1-ba59-d8f83ea8daf9.h5_-41
Jogador_e38d9c96-e02d-4cb3-a0e7-d4364d5cafd1.h5_12,Jogador_ee62332b-5fb3-4cdc-9d14-cdd77255d128.h5_12,Jogador_3d876395-152e-4a48-a17f-1bb0f2e1dfc9.h5_-1,Jogador_c80ba9d2-14fe-4790-a8a0-05bc8c6f6816.h5_-3,Jogador_6a6d33d8-ccbb-4115-aea8-06b39766f8d3.h5_-4,Jogador_fff8da32-5b14-45b0-96db-c2e6a33e4778.h5_-4,Jogador_03663140-adb9-45bb-a6fd-9fd46c8a8639.h5_-5,Jogador_f045dcc2-52b9-46fc-a2f1-abcec92f39a9.h5_-10,Jogador_6828ccfe-4c90-4af7-a33c-27988b6b34ba.h5_-12,Jogador_56340515-9661-46dd-895c-a4672255d934.h5_-14,Jogador_de82917f-a51d-4428-abe9-fbf76f2bbb0b.h5_-14,Jogador_94e4cd5c-8133-40af-8234-d13ab7bf7ab0.h5_-15,Jogador_ca3a3d35-3480-4422-bb67-740c31cac85b.h5_-15,Jogador_ef3c7d2b-fd8e-4611-a832-8290f021f34e.h5_-15,Jogador_f346e204-858c-4532-8693-a27dff443f6f.h5_-16,Jogador_a1955d77-f462-4f2d-a8e5-5c2528e3b38b.h5_-17,Jogador_1edb24f9-a0c1-4bec-bb29-aefba679e797.h5_-18,Jogador_95b762aa-7722-4eb6-b6ea-3744d166405c.h5_-18,Jogador_c8921780-9c76-4fea-9eeb-55232c690ccf.h5_-19,Jogador_092fb125-e4ed-4bb4-bc73-e232920ac75b.h5_-19,Jogador_8a8822c3-6cf5-41c4-bb60-9f0beb593f45.h5_-20,Jogador_f8202f0c-f61f-4868-93da-4dbfb9f7036e.h5_-20,Jogador_1c74b3cb-3359-4e98-9161-66a8d91eac7b.h5_-22,Jogador_30ac4577-514c-4b11-8a50-291c716f6834.h5_-22,Jogador_e87e312e-089c-47d9-956c-d5f7db76961c.h5_-26,Jogador_2ddeb12a-6a01-4c90-9f7b-6ce9310bfe45.h5_-28,Jogador_c62fe859-431f-4133-b5c3-e72948d3daec.h5_-28,Jogador_635d84fb-cf9c-4d1f-9302-9afd0a5ef463.h5_-32,Jogador_46bd14ef-efb9-4875-926d-009d332c13fa.h5_-32,Jogador_bb7fb7cd-3108-4698-9621-17c4525f79f3.h5_-33
Jogador_5f6a8b0d-88ac-46c3-8c69-2169b7aa8d24.h5_7,Jogador_960d519c-b844-451a-884f-68d0a678ef3a.h5_7,Jogador_c80ba9d2-14fe-4790-a8a0-05bc8c6f6816.h5_5,Jogador_96c0a69d-71a4-4490-8ad3-b5a49100d5af.h5_3,Jogador_ac345a5e-8808-4c00-9d66-f83d2437055f.h5_-3,Jogador_e38d9c96-e02d-4cb3-a0e7-d4364d5cafd1.h5_-4,Jogador_03663140-adb9-45bb-a6fd-9fd46c8a8639.h5_-5,Jogador_94e4cd5c-8133-40af-8234-d13ab7bf7ab0.h5_-6,Jogador_ee62332b-5fb3-4cdc-9d14-cdd77255d128.h5_-6,Jogador_3d876395-152e-4a48-a17f-1bb0f2e1dfc9.h5_-7,Jogador_6828ccfe-4c90-4af7-a33c-27988b6b34ba.h5_-7,Jogador_ef3c7d2b-fd8e-4611-a832-8290f021f34e.h5_-8,Jogador_fff8da32-5b14-45b0-96db-c2e6a33e4778.h5_-9,Jogador_9a678dd8-0825-4d7c-963a-1897300e5666.h5_-9,Jogador_5f38ee56-2e74-461a-ac31-935abb8d62db.h5_-10,Jogador_f045dcc2-52b9-46fc-a2f1-abcec92f39a9.h5_-12,Jogador_de82917f-a51d-4428-abe9-fbf76f2bbb0b.h5_-12,Jogador_ca3a3d35-3480-4422-bb67-740c31cac85b.h5_-14,Jogador_d9f6e2c2-0bea-4bf7-a14a-91d891c31982.h5_-14,Jogador_6a6d33d8-ccbb-4115-aea8-06b39766f8d3.h5_-15,Jogador_c4008fb1-5e65-4e52-a37d-dd0c14a71220.h5_-17,Jogador_823024e8-bfaf-454d-a252-75608367e5e1.h5_-19,Jogador_f346e204-858c-4532-8693-a27dff443f6f.h5_-20,Jogador_56340515-9661-46dd-895c-a4672255d934.h5_-21,Jogador_bb2b6116-1df5-4a62-8830-24b05e6312ad.h5_-25,Jogador_c08a6160-b362-4160-a25d-fa23798addbb.h5_-30,Jogador_459bb766-3429-4b80-bf0c-581e3f54812f.h5_-35,Jogador_74d3606c-6b5a-4395-9ddf-fa647208357d.h5_-48,Jogador_c3633d11-483a-4acf-9ede-63d712e869ac.h5_-66,Jogador_d69922e9-0f49-402c-9d3a-9046687eae79.h5_-71
Jogador_79ff78a3-153c-4f54-b78f-95b99b706245.h5_2,Jogador_960d519c-b844-451a-884f-68d0a678ef3a.h5_-1,Jogador_94e4cd5c-8133-40af-8234-d13ab7bf7ab0.h5_-2,Jogador_9a678dd8-0825-4d7c-963a-1897300e5666.h5_-2,Jogador_03cd9be4-e564-4f1d-860a-57f57d38c9a2.h5_-3,Jogador_372985d2-3d9f-4c2c-8509-2d9cece1945c.h5_-6,Jogador_d8c7de3b-36de-42f4-8704-d1737561bd60.h5_-7,Jogador_b3b1a7b6-11a2-45a3-8413-8a2a13862a45.h5_-8,Jogador_96c0a69d-71a4-4490-8ad3-b5a49100d5af.h5_-9,Jogador_6828ccfe-4c90-4af7-a33c-27988b6b34ba.h5_-9,Jogador_9583646a-9ef3-491d-b1e5-ee6ee62a0981.h5_-9,Jogador_e38d9c96-e02d-4cb3-a0e7-d4364d5cafd1.h5_-11,Jogador_b33f3332-5f80-49fc-a98d-94e9e3b7e39c.h5_-11,Jogador_ee62332b-5fb3-4cdc-9d14-cdd77255d128.h5_-11,Jogador_9f5cc31c-6d45-4599-924d-6208beb33fec.h5_-11,Jogador_3d876395-152e-4a48-a17f-1bb0f2e1dfc9.h5_-12,Jogador_63d1d49b-84a4-4f47-bd33-95da00ce1a47.h5_-13,Jogador_ae0b4e5b-285c-44b0-a184-fe546ec8f6d1.h5_-14,Jogador_03663140-adb9-45bb-a6fd-9fd46c8a8639.h5_-14,Jogador_ac345a5e-8808-4c00-9d66-f83d2437055f.h5_-14,Jogador_3d4e0b5e-3823-4466-9cf9-1f1b0f4fade8.h5_-18,Jogador_fff8da32-5b14-45b0-96db-c2e6a33e4778.h5_-22,Jogador_ef3c7d2b-fd8e-4611-a832-8290f021f34e.h5_-23,Jogador_5f6a8b0d-88ac-46c3-8c69-2169b7aa8d24.h5_-31,Jogador_c80ba9d2-14fe-4790-a8a0-05bc8c6f6816.h5_-31,Jogador_5d902679-81e8-4c23-b08b-5ec63c7e62be.h5_-32,Jogador_c5a36a35-39c7-4657-8da4-bc2962929318.h5_-32,Jogador_37aad748-d61a-4860-958a-c470786fd79c.h5_-33,Jogador_5f38ee56-2e74-461a-ac31-935abb8d62db.h5_-39,Jogador_f5fe5c02-ba56-4ba6-a52b-a7506a8d8d80.h5_-44
Jogador_3ce99482-8104-4261-9416-2e80964f8de3.h5_33,Jogador_94e4cd5c-8133-40af-8234-d13ab7bf7ab0.h5_7,Jogador_03cd9be4-e564-4f1d-860a-57f57d38c9a2.h5_7,Jogador_b748409a-ddc0-446e-853f-64b83e7e5267.h5_5,Jogador_7505a99f-222a-4bcc-b139-d02665aad282.h5_5,Jogador_713f8f24-6e7a-43a6-b982-cccabd080671.h5_3,Jogador_add0b957-f3f5-45e0-aea5-7743069d3cab.h5_3,Jogador_960d519c-b844-451a-884f-68d0a678ef3a.h5_2,Jogador_9a678dd8-0825-4d7c-963a-1897300e5666.h5_1,Jogador_79ff78a3-153c-4f54-b78f-95b99b706245.h5_-1,Jogador_b33f3332-5f80-49fc-a98d-94e9e3b7e39c.h5_-1,Jogador_6828ccfe-4c90-4af7-a33c-27988b6b34ba.h5_-2,Jogador_333dfe0e-2f29-4c9e-9fa1-f462abd1408e.h5_-18,Jogador_3a4bebd5-9af9-4421-a577-ad0606062cb4.h5_-20,Jogador_372985d2-3d9f-4c2c-8509-2d9cece1945c.h5_-20,Jogador_9f5cc31c-6d45-4599-924d-6208beb33fec.h5_-20,Jogador_7127a9ed-9db9-4231-81e9-b1da76e6409f.h5_-21,Jogador_c33aa06a-bb74-4afb-ab15-eae84c6bc005.h5_-23,Jogador_b3b1a7b6-11a2-45a3-8413-8a2a13862a45.h5_-25,Jogador_e38d9c96-e02d-4cb3-a0e7-d4364d5cafd1.h5_-25,Jogador_d8c7de3b-36de-42f4-8704-d1737561bd60.h5_-26,Jogador_9583646a-9ef3-491d-b1e5-ee6ee62a0981.h5_-27,Jogador_ee62332b-5fb3-4cdc-9d14-cdd77255d128.h5_-29,Jogador_96c0a69d-71a4-4490-8ad3-b5a49100d5af.h5_-31,Jogador_464ab986-12f8-4d4e-9852-ad0e5fc00708.h5_-31,Jogador_5e55cd54-2519-4bd0-a5c4-3e46eb9a5444.h5_-34,Jogador_5d130836-c693-4f5a-993b-51aa71572f61.h5_-36,Jogador_6f46f14e-a41e-44cd-ba9f-7f8dd7c6e0d0.h5_-44,Jogador_dfd5cd91-1326-488d-93df-27385cdbc8cc.h5_-49,Jogador_76c2664f-0b86-4b2d-a127-6ad78fe2d820.h5_-58
Jogador_8c099dd7-60b3-4f36-8f93-24b5ab0b3778.h5_20,Jogador_3ce99482-8104-4261-9416-2e80964f8de3.h5_17,Jogador_116162d4-cc3e-4388-a925-c271484dfe04.h5_3,Jogador_add0b957-f3f5-45e0-aea5-7743069d3cab.h5_3,Jogador_960d519c-b844-451a-884f-68d0a678ef3a.h5_1,Jogador_1072f61f-ed63-4bea-ab57-fefa6d369de5.h5_1,Jogador_242c89e8-2bc4-411d-9cee-ea912418803a.h5_-1,Jogador_94e4cd5c-8133-40af-8234-d13ab7bf7ab0.h5_-5,Jogador_b59bd58f-fd5b-4455-94e0-8e43ec96a7fb.h5_-6,Jogador_dbadd7c7-bd31-4b03-bef7-50c5878de75f.h5_-10,Jogador_79ff78a3-153c-4f54-b78f-95b99b706245.h5_-12,Jogador_03cd9be4-e564-4f1d-860a-57f57d38c9a2.h5_-12,Jogador_7505a99f-222a-4bcc-b139-d02665aad282.h5_-13,Jogador_9b0c8389-8957-48bc-ba70-24c13fc84536.h5_-14,Jogador_b33f3332-5f80-49fc-a98d-94e9e3b7e39c.h5_-14,Jogador_6828ccfe-4c90-4af7-a33c-27988b6b34ba.h5_-15,Jogador_1542dd61-fe35-4259-8ffa-c4eb46bcbcae.h5_-17,Jogador_a2593302-12ac-42ac-bbfe-97015a2e14b4.h5_-17,Jogador_491349fd-4808-4700-82c0-619b87b184f7.h5_-17,Jogador_713f8f24-6e7a-43a6-b982-cccabd080671.h5_-22,Jogador_b748409a-ddc0-446e-853f-64b83e7e5267.h5_-24,Jogador_200cac1c-14d7-4d41-bf19-ba6e0b71d78e.h5_-24,Jogador_3a4bebd5-9af9-4421-a577-ad0606062cb4.h5_-26,Jogador_372985d2-3d9f-4c2c-8509-2d9cece1945c.h5_-28,Jogador_333dfe0e-2f29-4c9e-9fa1-f462abd1408e.h5_-29,Jogador_9a678dd8-0825-4d7c-963a-1897300e5666.h5_-29,Jogador_e2594a93-baeb-4fbf-b8f9-5ae4e3bb63bc.h5_-30,Jogador_c2e2e3f4-58ac-46fe-847a-aa022181930c.h5_-32,Jogador_d1af0830-4fa2-40d6-8ac0-c9565c502167.h5_-36,Jogador_28c7908d-6306-408f-a3e7-16146dddb2ea.h5_-52
Jogador_d704f8c5-22cf-4474-bf2e-403b8b27fa58.h5_20,Jogador_909804ed-f487-4092-9108-a33a30a8222c.h5_19,Jogador_8c099dd7-60b3-4f36-8f93-24b5ab0b3778.h5_12,Jogador_1072f61f-ed63-4bea-ab57-fefa6d369de5.h5_6,Jogador_3ce99482-8104-4261-9416-2e80964f8de3.h5_2,Jogador_719927e8-6806-4150-8c2c-f138d624464b.h5_-5,Jogador_b59bd58f-fd5b-4455-94e0-8e43ec96a7fb.h5_-7,Jogador_242c89e8-2bc4-411d-9cee-ea912418803a.h5_-11,Jogador_d828f14c-7a11-483f-b724-5a0e87c9850c.h5_-12,Jogador_116162d4-cc3e-4388-a925-c271484dfe04.h5_-13,Jogador_11c82fa7-fb96-4bc5-9f04-135aa1f5aa7c.h5_-13,Jogador_05633380-ff91-4cc6-bef6-8c44983a3304.h5_-14,Jogador_a6ae59b6-0d93-469b-b2ca-1d5d716486bc.h5_-15,Jogador_add0b957-f3f5-45e0-aea5-7743069d3cab.h5_-16,Jogador_78342b41-0f2f-431e-939a-73d0f32202f7.h5_-16,Jogador_94e4cd5c-8133-40af-8234-d13ab7bf7ab0.h5_-18,Jogador_9b2a9cd2-5735-45e3-bebc-994abd4f8a90.h5_-18,Jogador_960d519c-b844-451a-884f-68d0a678ef3a.h5_-20,Jogador_64622fcf-5df4-43cf-b9d7-b8c34c130e31.h5_-21,Jogador_dd5932ab-2641-4c56-b589-953889edfce9.h5_-27,Jogador_03cd9be4-e564-4f1d-860a-57f57d38c9a2.h5_-27,Jogador_dbadd7c7-bd31-4b03-bef7-50c5878de75f.h5_-27,Jogador_b33f3332-5f80-49fc-a98d-94e9e3b7e39c.h5_-27,Jogador_29c212ff-10a0-47cf-8931-0cfb7bdade33.h5_-28,Jogador_79ff78a3-153c-4f54-b78f-95b99b706245.h5_-29,Jogador_d0368777-d2ff-4e6f-8c46-1e6b1652b069.h5_-33,Jogador_9b0c8389-8957-48bc-ba70-24c13fc84536.h5_-35,Jogador_53d7cf4b-4181-4806-8e36-313dfac1a449.h5_-37,Jogador_d17a8abc-0da8-4c90-88b2-7fd219a57950.h5_-38,Jogador_7505a99f-222a-4bcc-b139-d02665aad282.h5_-40
Jogador_909804ed-f487-4092-9108-a33a30a8222c.h5_15,Jogador_d704f8c5-22cf-4474-bf2e-403b8b27fa58.h5_13,Jogador_8c099dd7-60b3-4f36-8f93-24b5ab0b3778.h5_7,Jogador_32ff1805-5d8f-4e34-9a6f-f1c209d58f78.h5_6,Jogador_0ca3dc11-f33d-4cf6-8607-15f1db588a74.h5_6,Jogador_eda0b29d-0d07-4dcf-ad8b-df372f7749fd.h5_5,Jogador_3fb19366-01c2-428b-b543-5168df224ceb.h5_5,Jogador_e3147ad8-2826-4833-9546-e72f327490c2.h5_2,Jogador_42787d8e-41ab-42ed-a264-e15d853dce79.h5_-3,Jogador_5775c6d7-247a-4eb0-b975-a1ddcfeeca62.h5_-3,Jogador_719927e8-6806-4150-8c2c-f138d624464b.h5_-6,Jogador_3ce99482-8104-4261-9416-2e80964f8de3.h5_-6,Jogador_9ba0a95a-93a1-4700-943e-8d2baeebdaa5.h5_-6,Jogador_1072f61f-ed63-4bea-ab57-fefa6d369de5.h5_-9,Jogador_488e6d4a-7d92-43d1-9356-1b3bd8d3034f.h5_-13,Jogador_ecd820d4-e6d0-4c85-9914-b3e1852e0fb6.h5_-14,Jogador_f8587696-ba94-42eb-adc5-7848f17f6176.h5_-17,Jogador_d828f14c-7a11-483f-b724-5a0e87c9850c.h5_-17,Jogador_11c82fa7-fb96-4bc5-9f04-135aa1f5aa7c.h5_-22,Jogador_242c89e8-2bc4-411d-9cee-ea912418803a.h5_-28,Jogador_a6ae59b6-0d93-469b-b2ca-1d5d716486bc.h5_-28,Jogador_add0b957-f3f5-45e0-aea5-7743069d3cab.h5_-28,Jogador_b59bd58f-fd5b-4455-94e0-8e43ec96a7fb.h5_-28,Jogador_5ffb0696-3453-42a8-8ae1-a6c17b9b27b9.h5_-34,Jogador_05633380-ff91-4cc6-bef6-8c44983a3304.h5_-37,Jogador_116162d4-cc3e-4388-a925-c271484dfe04.h5_-38,Jogador_78342b41-0f2f-431e-939a-73d0f32202f7.h5_-38,Jogador_8faafdcc-5e62-4df0-9a01-88d3c11d8ed5.h5_-41,Jogador_d2e37ffa-2ddc-4c30-895b-60ef972973fd.h5_-44,Jogador_7ebd2358-861c-4240-a8e0-b7c8a897f1fe.h5_-49
